em,smiles,solvent
576.0,C[N+](C)=C1C=CC(=CC=C2C=CN(CCCOCC(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,C1COCCO1
385.0,B1Nc2cccc3c2-n2c1ccc2BN3,ClCCl
,Cc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)c(Cc2c(O)cc(Cc3cc(O)cc(O)c3C(=O)c3c(C)cc(O)cc3O)oc2=O)c(=O)o1,CO
608.0,CN(C)c1ccc2ccc3oc(=O)c(-c4ccccc4)nc3c2c1,c1ccccc1
,O=[N+]([O-])c1ccc[nH]1,O
,CC(=O)O[C@@]1(C)CCC2=C(C(=O)c3c(O)ccc(O)c3C2=O)[C@@H]1O,ClC(Cl)Cl
567.0,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,ClC(Cl)Cl
,COC(=O)CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)OC)c5C)C(CC(F)F)=C4C)c(CC(F)F)c3C,ClCCl
537.0,CCOC(=O)C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CS(C)=O
,COc1ccc2nc3ccc(C)cc3c(-c3ccccc3)c2c1F,ClC(Cl)Cl
540.0,CN(C)c1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,CC#N
,c1ccc(Cc2ccc(-c3c(Cc4ccccc4)c4ccccc4n3Cc3ccccc3)cc2)cc1,CCO
582.0,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CC#N
638.0,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(/C=C/C3=CC(/C=C/c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C=C(C)C4=C5c4ccccc4)=[O+][B-](F)(F)O3)c(C)n1[B-]2(F)F,C1CCOC1
512.5,C[O+]=C1C=CC(=C2c3c(C)cc(C)n3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc21,CCCCCC
590.0,COc1cc(Cl)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O
435.0,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc(-c5ccccn5)n(-c5ccccc5)n4)cc3)cc2)cc1,ClCCl
,COC(=O)CCC(=O)OC[C@]1(C)CCC[C@]2(C)[C@H]3CCC(=O)C=C3C(=O)C[C@H]21,CO
,CCCCCCc1cc(-c2cc3c4nn(CC(CC)CCCC)nc4c4cc(-c5cc6c(s5)c5ccccc5n6CC(CC)CCCC)sc4c3s2)sc1/C=C(/C#N)C(=O)O,C1CCOC1
652.0,CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N
,Nc1ccc2nc(Cc3ccccc3)c(=O)oc2c1,CCO
550.0,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,CO
413.0,Cc1ccc(-c2ccc(C(=O)NC(C)(C)C)c3c2ccc2c4ccccc4c4ccccc4c23)cc1,ClCCl
475.0,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3ccc(OC)cc3c12,ClCCl
,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2CC(Cc3cccc(C(=O)O)c3)=C[C@H]2C[C@H]1O,CCO
,O=C1C(Cl)=CC(Cl)=C2C(=O)c3ccccc3C(c3ccccc3)=C12,c1ccccc1
,CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4nc5cc(C(=O)O)c(C(=O)O)cc5nc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,C1CCOC1
518.0,C[N+](C)=C1C=CC(=C2c3cccn3[B-](F)(F)n3cccc32)C=C1,CS(C)=O
540.0,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC(I)=CC1=C2,OCC(F)(F)F
,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,C1CCCCC1
386.0,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,C1CCOC1
530.0,F[B-]1(F)Oc2ccccc2-c2cnc3ccccc3[n+]21,Cc1ccccc1
439.0,CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,Cc1ccccc1
460.0,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CCOC(C)=O
,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,C1CCOC1
,CCCCc1ccc(C2=N/C(=C(/c3ccc(C(F)(F)F)cc3)c3[nH]c(-c4ccc(CCCC)cc4)c(-c4ccc(CCCC)cc4)c3-c3ccc(C(F)(F)F)cc3)C(c3ccc(C(F)(F)F)cc3)=C2c2ccc(CCCC)cc2)cc1,ClCCl
,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)O[C@@H](C)[C@H](C)C3=O,CO
601.0,Cc1cc(C)c(C2=C3C=CC(c4ccc[nH]4)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,C1CCOC1
513.0,CCCCn1c2cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(/C=C(\C#N)C(=O)O)ccc4-5)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc21,ClCCl
558.0,O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCCCC1
453.0,COCCOc1ccc(OCCOC)c(C=O)c1,CC(C)O
,O=C1O/C(=C\c2ccccc2)c2ccccc21,CC#N
,O=[N+]([O-])c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,ClCCl
633.0,N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccc(/C=C/C(=C(C#N)C#N)c3ccccc3)cc2)cc1)c1ccccc1,CCO
,CC(C)c1cc(Cl)c2c(n1)C(=O)c1ccccc1C2=O,CCCCCC
,CC(C)c1ncc(Cc2ccccc2)[nH]c1=O,CO
420.0,Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(C)=O
,ClC1=C(Cl)c2nc1c(-c1c(Cl)cccc1Cl)c1[n-]c(c(Cl)c1Cl)c(-c1c(Cl)cccc1Cl)c1nc(c(-c3c(Cl)cccc3Cl)c3[n-]c(c(Cl)c3Cl)c2-c2c(Cl)cccc2Cl)C(Cl)=C1Cl,CC#N
,CCCCCC(CC)COc1ccc(-c2ccc(/C(=C\c3ccc(N4c5ccc(-c6ncc(-c7ccc(/C=C(\C#N)C(=O)O)s7)c7nccnc67)cc5C5CCCC54)cc3)c3ccc(-c4ccc(OCC(CC)CCCCC)cc4OC(CC)CCCCC)cc3)cc2)c(OCC(CC)CCCCC)c1,ClCCl
452.0,CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCCCC1
,COC(=O)CCC1=C(C)C(/C=C2\OC(=O)C(C)=C2C)=N/C1=C\c1[nH]c(/C=C2\OC(=O)C(C)=C2C)c(C)c1CCC(=O)OC,CCOCC
,CCCCCCCCc1cc(/C=C(/C#N)C(=O)O)sc1-c1ccc(-c2sc(-c3ccc4c(c3)c3nc5ccccc5nc3n4CC(CC)CCCC)cc2CCCCCCCC)s1,ClCCl
,CCCSC(=O)c1ccc(C(=O)SCCC)nc1,CC#N
439.0,CC1(C)CC(=O)c2ccccc2N1,CC#N
,CC(=O)C(C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C(c2ccccc2)=C1c1ccccc1)=C(C)O,ClCCl
,Cl[C]1C(Cl)=C(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)C(Cl)=C(Cl)C1=C(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C1CCCCC1
,COc1ccc(N2c3ccc(-c4cc5sc6cc(C=C(C#N)C(=O)O)sc6c5s4)cc3C3CCCC32)cc1,CCO
481.0,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,Cc1ccccc1
470.0,Cc1cc(C)c(B2c3cc(C(C)(C)C)ccc3-c3c(-c4ccccc4)ccc4cc(C(C)(C)C)cc2c34)c(C)c1,C1CCCCC1
,O=c1nc(O)c(Cc2ccccc2)cn1[C@H]1C[C@H](Cl)[C@@H](CO)O1,CCO
637.0,O=[N+]([O-])c1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl
665.0,CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,C1CCCCC1
624.0,CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1
,CCN(CC)c1ccc2c(-c3ccc([O-])c(C(=O)[O-])c3)c3ccc(N(CC)CC)cc3[o+]c2c1,O
585.0,CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2cc(N(CC)CC)ccc12,CN(C)C=O
543.5,CC1=CC(C)=[N+]2C1=Cc1c(C)c(C=C(Br)Br)c(C)n1[B-]2(F)F,Cc1ccccc1
475.5,CC(=O)OC[C@H]1O[C@@H](OCCn2cc(CNC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)nn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,O
422.0,CC(C)=CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CC#N
447.0,COc1ccc(-c2cccc3cnc(-c4ccc(C#N)cc4)n23)cc1,ClCCl
,Cc1c2ccc(Cl)cc2nc2ccc(OCCCCCCOC3CCCCO3)cc12,CCO
639.0,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O
,CCOC(=O)C(C#N)=CC1=C2Oc3cc(O)c(Cl)cc3C(c3ccccc3C(=O)O)=C2CCC1,CC(C)=O
662.5,C[O+]=C1C=CC(=C2c3cc(-c4ccc(C=O)cc4)c(/C=C/c4ccc(C(F)(F)F)cc4)n3[B-](F)(F)N3C2C=C(c2ccc(C=O)cc2)C3/C=C/c2ccc(C(F)(F)F)cc2)C=C1,C1CCCCC1
,CCC1(CC)c2cc(C=C(C#N)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(N(C)C)cc4)c4ccc(N(C)C)cc4)cc3)cc21,ClC(Cl)Cl
623.0,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(C#N)C#N)c3cccc4c5cccc6c(C=C(C#N)C#N)cc1c(c65)c2c34,Cc1ccccc1
650.0,C=CCNc1ccc2c(ccc3[o+]c4cc(N(C)C)ccc4nc32)c1,CCO
780.0,C[N+]1=C(C=CC2=C3Oc4c(cc5c6c4CCCN6CCC5)C(c4ccccc4C(=O)O)=C3CCC2)C(C)(C)c2c1ccc1ccccc21,CC#N
,CC1=CC(c2cc(O)c(O)c3oc4cc(O)cc(O)c4c(=O)c23)OC1=O,CO
,N=c1nc(O)c2[nH]cc(Cc3ccc(Cl)cc3)c2[nH]1,O
,O=c1c2ccccc2[nH]c2c(-c3nnc(-c4cccc([N+](=O)[O-])c4)o3)cccc12,CO
,c1ccc([C](c2ccccc2)c2ccccc2)cc1,CC#N
,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C(Nc2ccccc2)=C1,ClCCl
,CC1(C)c2ccccc2-c2ccc([C@@H]3c4ccc(-c5ccc(-c6ccc(/C=C(\C#N)C(=O)O)s6)s5)c5c4[C@@H](CCC5)N3c3ccccc3)cc21,CCO
588.0,F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C=C(Cl)C(c3ccccc3)=[N+]21,CC#N
,O=C(O)c1ccc(-c2c3ccc(=NCC(F)(F)F)cc-3oc3cc(NCC(F)(F)F)ccc23)c(C(=O)O)c1,O
,Oc1cc2ccccc2cc1C1(O)C2CC3CC(C2)CC1C3,CC#N
,CCCCCCc1cc(-c2ccc3c(c2)Sc2cc(-c4cc(CCCCCC)c(/C=C(\C#N)C(=O)O)s4)ccc2N3c2ccc(/C(=C/c3ccccc3)c3ccccc3)cc2)sc1/C=C(\C#N)C(=O)O,C1CCOC1
,CC(C)(O)CCc1c(O)c(CCC(C)(C)O)c2oc3c(O)cccc3c(=O)c2c1O,CO
,COCc1c(O)cc2c(c1O)C(=O)c1ccc(OC)cc1C2=O,CO
540.0,N#Cc1c2nc3ccccn3c2nc2nc3ccccn3c12,CN(C)C=O
525.0,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,ClCCl
,O=c1ccc2ccc3oc(-c4ccccc4)cc4c(Cc5ccccc5)cc1c2c34,ClC(Cl)Cl
,CCCCCCCCOc1nc2c(ccc3ccccc32)cc1C=C1SC(=S)N(CC(=O)O)C1=O,CC#N
,COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC(=O)[C@H]21,CO
437.0,CCN(CC)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Cc1ccccc1
542.0,C[O+]=C1C=CC(=C2c3cccn3[B-](F)(F)n3cc(Br)cc32)C=C1,ClCCl
,CCN(CC)c1ccc2c(C=Cc3ccc(S(C)=O)cc3)c3ccc(OC)cc3[o+]c2c1,O
575.0,CN(C)c1cccc2c1-c1ccccc1C2=O,c1ccccc1
,O=c1nc(O)c(Cc2ccccc2)cn1COC(CO)CCl,CCO
764.0,CCc1c(C)[nH]c(C2=[N+]3C(=Cc4c(C)c(CC)c(/C=C/c5ccc(N(C)C)cc5)n4[B-]3(F)F)c3ccccc32)c1C,C1CCOC1
,CN(C)c1ccc(/C=C/c2ccc3c(ccc4ccccc43)[o+]2)cc1,ClCCl
,N#CC(=Cc1ccc(N(c2ccccc2)c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc2)cc1)C(=O)O,CN(C)C=O
666.0,CCN1C(=CC2=C([O-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=O)Sc2ccccc21,ClC(Cl)Cl
,COc1ccc(-c2c3nc(c(-c4ccc(OC)cc4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4nc(c(Br)c5ccc2[nH]5)C=C4)C=C3)cc1,ClCCl
,COc1c(CCC(C)(C)O)c(O)c(C(C)=O)c(O)c1Cc1c(O)c(C(C)=O)c(O)c(CCC(C)(C)O)c1OC,CO
517.0,CC1=CC(C)=[N+]2C1=C(Cc1ccc(C(F)(F)F)cc1)c1c(C)cc(C)n1[B-]2(F)F,Cc1ccccc1
,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](C)O[C@@H](C)C1,CCO
513.0,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC=CC1=C2C,CC(C)=O
,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,CS(C)=O
611.0,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,ClCCl
,CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCCO)C(CCCO)=C4C)c(C)c3CC,ClCCl
,CCCCCC1=C(Cc2ccc(OC)cc2)C(=O)C(C2C=C(C)CCC2C(C)CCC(C)C2CCC(C)=CC2C2=C(O)/C(=C/C=C/c3ccc(OC)cc3)C(CCCCC)=C(Cc3ccc(OC)cc3)C2=O)=C(O)/C1=C/C=C/c1ccc(OC)cc1,O=S(=O)(O)O
,CC(=O)/C=C(\O)c1cc2cc3ccc(O)cc3cc2oc1=O,C1COCCO1
517.5,CCOC(=O)/C(C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21)=C(/C)O,CO
,CCCc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)cc(=O)o1,CO
,Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Oc3ccc4ccc(OCCCNCCNc5ccnc6cc(Cl)ccc56)cc4c32)cc1,CO
,CC(O)=NN=Cc1c2ccccc2nc2ccccc12,CO
,CCNc1cc2c(cc1C)C1(c3cc(C)c(NCC)cc3O2)c2ccccc2C(=O)N1N=C(O)c1cccc(OC)c1,CC#N
,Nc1ccc(Nc2nc(=Nc3cccc4ccccc34)[nH]c(=Nc3cccc4ccccc34)[nH]2)cc1,ClCCl
651.0,CCCCCCCCN1C(=O)c2ccc3c4c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc5c6c(ccc(c7c(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,ClC(Cl)Cl
606.0,CC(C)(C)OC(=O)N1CCN(c2ccc3c(c2)C(C)(C)c2cc(C=O)ccc2-3)CC1,O
573.0,Cc1cc(/C=C/c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O
,C=C1CC[C@@H]2[C@@](C)(C(=O)O)CCC[C@@]2(C)[C@@H]1C/C=C(\C)[C@@H]1CCc2c(O)c(CC3=C(O)C(C)(C)C(O)=C(C(C)=O)C3=O)c(O)c(C(=O)CCC)c2O1,CCO
,CCCCCCCc1c2nc(c(CCCCCCC)c3ccc([nH]3)c(-c3cccc(OC)c3)c3nc(c(CCCCCCC)c4ccc1[nH]4)C=C3)C=C2,ClCCl
479.0,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N
469.5,C#CC[NH+]=C1c2cccn2[B-](F)(F)n2cccc21,CCOC(C)=O
,COc1cc(O)c2c(c1)[C@@H](O)[C@@H]1C[C@H](C)OC[C@H]1C2=O,CO
,COc1ccc(SC2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,CCCCCC
,CCC1=C(CC)c2cc3[nH]c(c(CC)c3CC)c(-c3ccc(C)cc3)c3nc(cc4[nH]c(cc1n2)c(CC)c4CC)C(CC)=C3CC,ClCCl
,CNc1ccc(-c2c3ccccc3nc3ccccc23)cc1C,CCO
,CCCCCCCCN1/C(=C/C2/C(=C(/C#N)C(=O)OCC)C(=CC3=[N+](CCCCCCCC)c4cccc(C(=O)O)c4C3(C)C)C2[O-])C(C)(C)c2cc(C(=O)O)ccc21,CCO
,Cc1ccc(C(=O)c2cc3c(ccc4ccccc43)oc2=O)cc1,CO
442.0,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(OC)n3)ccc21,CCOC(C)=O
538.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N
539.0,Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(I)cc32)cc1,OC(F)(F)CF
485.0,CN(C)c1ccc(/C=C/c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,C1COCCO1
,CC1(C)CC(=O)c2cc(Cc3ccccc3)oc2C1,CC#N
,CCC1=C(CC)/C2=C/c3[nH]c(c(CC)c3CC)[C@H](CC)C3=N/C(=C\c4[nH]c(c(CC)c4CC)[C@H](CC)C1=N2)C(CC)=C3CC,ClCCl
,CCCCOC(=O)CCC[n+]1c(C=C2C(=O)C(C=C3N(C)c4ccccc4C3(C)C)=C2C(=C=[N-])C#N)sc2ccccc21,CS(C)=O
742.0,CCCCCCOc1cc(N(CC)CC)ccc1/C=C(\C#N)c1ccc(/C=C/C(=C(C#N)C#N)c2ccc3c(c2)c2ccccc2n3CC)s1,ClCCl
,O=[N+]([O-])c1ccc(C(=C2C=CC(=[N+]([O-])[O-])C=C2)c2ccc([N+](=O)[O-])cc2)cc1,O
,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(-c5c(C)cc(C(=O)O)cc5C)c5nsnc45)s3)cc2)cc1,ClCCl
,Nc1ccc2c[nH]nc2c1,O
560.0,CCCc1cn(-c2ccc3n2[B-](F)(F)[N+]2=C(NCc4ccccc4OCC)C=CC2=C3c2ccc(N)cc2)nn1,C1CCCCC1
441.0,c1ccc(N=c2[nH]c(=Nc3ccccc3)[nH]c(=Nc3ccc4cc5ccccc5cc4c3)[nH]2)cc1,CC#N
367.0,Oc1ccccc1/C=N/c1ccc(Cn2cncn2)cc1,CC(C)O
,COC(=O)C12N=N[C@](C(=O)OC)(C3C4CCC(C4)C31)[C@@]1(C)C[C@@H]21,CC#N
625.0,O=C1C=CC=C[N+]1=C1C=CC2=C(c3ccco3)c3ccc(-n4ccccc4=O)n3[B-](F)(F)N21,Cc1ccccc1
,Cc1cccc(N(c2ccc(/C=C/C=C/C=C3\SC(=S)N(CC(=O)O)C3=O)cc2)c2ccc(C)c(C)c2)c1,CS(C)=O
367.0,N#Cc1ccc2cc[nH]c2c1,CO
,Cc1cccc(C)c1-c1c2nc(c(-c3c(C)cccc3C)c3ccc([nH]3)c(-c3c(C)cccc3C)c3nc(c(-c4c(C)cccc4C)c4ccc1[nH]4)C=C3)C=C2,c1ccncc1
,CC(=O)Sc1ccc(C(c2ccc(I)cc2)(c2ccc(SC(C)=O)cc2)c2ccc(SC(C)=O)cc2)cc1,ClCCl
544.0,C#CC1=CC(=[O+]CCCC)C(=C=C=c2ccc(=C3c4c(C)c(CC)c(C)n4[B-](F)(F)n4c(C)c(CC)c(C)c43)cc2)C=C1OCCCC,ClC(Cl)Cl
,C[N+](C)=C1C=CC(=c2ccc(=c3ccc(=C4c5cccn5[B-](F)(F)n5cccc54)s3)s2)S1,ClCCl
,O=c1c2ccccc2c(Cc2ccccc2)c2n1CCN2,Cl
,Oc1ccc(O)c(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4cc(O)ccc4O)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)c1,N#Cc1ccccc1
596.0,C[N+](C)=C1C=CC(=CC=C2C=CN(CCCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,c1ccncc1
436.0,Clc1nc(=Nc2ccccc2)[nH]c(=Nc2ccc3cc4ccccc4cc3c2)[nH]1,C1COCCO1
