em,smiles,solvent
671.0,Cc1cc2n(c1-c1ccc(C#CCCCCC(=O)ON3C(=O)CCC3=O)s1)[B-](F)(F)n1c(cc(C)c1=C1C=CC=[S+]1)=C2,CS(C)=O
,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@@H](O)[C@H](O)[C@](C)(O)[C@H]1O,CO
,CC(C)(C)c1cc(-c2c3nc(c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4ccc([nH]4)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4nc(c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)c5ccc2[nH]5)C=C4I)C=C3)cc(C(C)(C)C)c1,ClCCl
510.0,Cc1cc(O)c(C(=O)/C=C/c2ccccc2O)c(=O)o1,CC#N
638.0,CN(C)/C=N\c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,CO
,CC=C1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(OC(=O)C[C@@H]2C(C(=O)OC)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)/C2=C/C)cc1,CO
,CC1=CC(C)=[N+]2C1=C(c1ccncc1)c1c(C)cc(/C=C/c3ccc(N(C)CCOCCO)cc3)n1[B-]2(F)F,CC1CCCO1
,CCC1=C(C)/C(=C(\c2ccccc2)c2[nH]c(C)c(CC)c2C)N=C1C,CO
,COC(=O)C(C(=O)OC)[C@H]1C[C@H]2Nc3ccccc3[C@@H](c3ccccc3)[C@@H]2[C@H](OC)C1,CC#N
510.0,CC1=CC(c2ccc3ccccc3c2)=[O+][B-]2(OC(=O)C(=O)O2)O1,CC#N
,C/C=C1\CC[C@H](OC(C)=O)C\C1=C\C=C1/CCC[C@]2(C)[C@@H](OC(=O)C(C)(C)C)CC[C@@H]12,CCOCC
382.0,c1cc2cc(-c3ccncc3)c3cccc4c(-c5ccncc5)cc(c1)c2c34,Cc1ccccc1
,CC(C)Cc1c2nc(c(CC(C)C)c3ccc([nH]3)c(CC(C)C)c3nc(c(CC(C)C)c4ccc1[nH]4)CC3)C=C2,ClCCl
569.0,CC1=C2C=CC(/C=C/c3ccccc3)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,ClC(Cl)Cl
,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)cc2)cc1,CCO
711.0,CCC1(CC)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(C)C)cc21,CS(C)=O
,Brc1cccc(Br)c1-c1c2nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3c(Br)cccc3Br)c3nc(c(-c4ccccc4)c4ccc1[nH]4)C=C3)C=C2,ClCCl
,CC(C)(C)c1c2ccc3[nH]c4c(ccc5c(C(C)(C)C)c(ccc6[nH]c7c(ccc1c7n2)c6C(C)(C)C)nc54)c3C(C)(C)C,Cc1ccccc1
585.0,Cc1cc(/C=C/c2cc(Br)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O
,c1ccc(-c2cc3ccccc3p2-c2ccccc2)cc1,C1CCOC1
601.0,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O
542.0,O=C(ON1C(=O)CCC1=O)c1cc(Cl)c(C(=O)O)c(-c2c3cc(Cl)c(=O)cc-3oc3cc(O)c(Cl)cc23)c1Cl,O
,CC1=C(C)/C(=C/c2[nH]c(Cc3cccc(Cc4[nH]c(/C=C5\N=C(O)C(C)=C5C)c(C)c4CCC(=O)O)c3)c(CCC(=O)O)c2C)N=C1O,CN(C)C=O
536.0,Cc1cc(C)c(C2=C3C=CC(C=O)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,ClCCl
513.0,CCCCCCCC[O+]=C1C=CC(=C2c3c(C)cc(C)n3[B-](F)(F)n3c(C)cc(C)c32)C=C1,ClCCl
,CC(=O)Oc1cc(F)cc(-c2c3nc(c(-c4ccc(F)c(OC(C)=O)c4F)c4ccc([nH]4)c(-c4ccc(F)c(OC(C)=O)c4F)c4nc(c(-c5ccc(F)c(OC(C)=O)c5F)c5ccc2[nH]5)C=C4)C=C3)c1F,CO
580.0,C#Cc1ccc(/C=C/C2=[N+]3C(=Cc4c(C)cc(C)n4[B-]3(F)F)C=C2)cc1,ClC(Cl)Cl
601.0,CC1=CC(C)=[N+]2C1C(c1ccccc1)c1c(C)cc(/C=C/c3ccc(O)c(O)c3)n1[B-]2(F)F,CCO
612.0,CCCCCCCCN1C(=O)/C(=c2\s/c(=C\c3ccc(N(c4ccccc4)c4ccc(/C=c5/s/c(=C6/SC(=S)N(CCCCCCCC)C6=O)n(CC(=O)O)c5=O)cc4)cc3)c(=O)n2CC(=O)O)SC1=S,ClC(Cl)Cl
,CC(C)c1c2nc(c(C(C)C)c3ccc([nH]3)c(C(C)C)c3nc(c(C(C)C)c4ccc1[nH]4)C=C3)C=C2,c1ccccc1
,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-n3c4cc(/C=C(\C#N)C(=O)O)sc4c4sc(-c5ccc6c(c5)C5CCCC5N6c5ccc6c(c5)C(CCC)(CCC)c5ccccc5-6)cc43)cc2)cc1,ClCCl
,F[B-]1(F)n2cccc2C(N2CCOCC2)=C2C=CC=[N+]21,OCC(F)(F)F
485.0,CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(-c2ccccc2-c2ccc(C(=O)O)cc2)c(=O)oc31,CC#N
,CCN1C(=CC2=C([O-])C(=Cc3sc4ccccc4[n+]3CC)C2=O)Sc2ccccc21,ClCCl
588.0,Cc1cc(N(C)C)ccc1-c1ccc(C=O)cc1,CN(C)C=O
,CCCCCCOc1ccc(-c2cc3c(s2)Sc2cc(/C=C(\C#N)C(=O)O)ccc2N3CCCCCC)cc1,ClCCl
,CC1Cc2cc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)cc4)s3)ccc2N1c1ccc(C(C)(C)C)cc1,C1CCOC1
,F[B-]1(F)n2c(cc(Br)c2/C=C/c2ccc(C(F)(F)F)cc2)C(c2ccc(C(F)(F)F)cc2)=C2C=C(Br)C(/C=C/c3ccc(C(F)(F)F)cc3)=[N+]21,CO
456.0,CCN(CC)C(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,ClCCl
489.0,COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,O
,CCCC(CC)CN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)s4)s3)ccc21,ClCCl
576.0,Cn1c(/C=C(\C#N)C(=O)O)ccc1C1=Nc2ccc(N(c3ccccc3)c3ccccc3)cc2C1(C)C,C1CCOC1
487.0,CCn1c2ccccc2c2cc(/C=C/C(=O)c3ccc4c(c3)c3cc(C(=O)/C=C/c5ccc6c(c5)c5ccccc5n6CC)ccc3n4CC)ccc21,CN(C)C=O
,CCCCCCCCn1nc2c(-c3ccc(/C=C(\C#N)C(=O)O)s3)c3nc(-c4ccccc4)c(-c4ccccc4)nc3c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c2n1,ClCCl
329.0,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1
,Clc1ccccc1-c1c2nc(c(-c3ccccc3Cl)c3ccc([nH]3)c(-c3ccccc3Cl)c3nc(c(-c4ccccc4Cl)c4ccc1[nH]4)C=C3)C=C2,c1ccccc1
,CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2ccc(-c3ccccc3)cc12,CC(C)=O
,COc1cc(O)c2c(c1O)[C@@H](O)[C@H]1C[C@](C)(OC)OC[C@@H]1C2=O,CO
740.0,COC(=O)c1ccccc1-c1c2cc3c4c(c2oc2c1ccc1cccc(=[NH2+])c12)CCCN4CCC3,O
,CCCCCCOc1cc(-c2ccc(-n3c(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3/C=C(\C#N)C(=O)O)cc2)c(OCCCCCC)cc1-c1ccc(-n2c(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2/C=C(\C#N)C(=O)O)cc1,ClCCl
,CC1=C(CCc2ccccc2)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCc1ccccc1)c5C)C(CCc1ccccc1)=C4C)c(CCc1ccccc1)c3C,ClCCl
,CCN(CC)c1cc2oc(=O)cc(C)c2cc1C,CCO
,CCCCCCCCCCC1(CCCCCCCC)C(C=C2C(=O)C(C=C3N(C)c4ccc(C(=O)[O-])cc4C3(C)C)=C2O)=[N+](CCCCCC)c2ccccc21,ClCCl
,OC1=C2C(c3ccccc3)=NC(O)=C2C(C(c2ccccc2)c2ccccc2)=N1,CS(C)=O
657.0,F[B-]1(F)n2c(cc3c2-c2ccccc2CC3)C(c2c(Cl)ncnc2Cl)=C2C=C3CCc4ccccc4C3=[N+]21,CC#N
,N#CCSc1nc(Cc2ccccc2)c2c(c1C#N)CCCC2,C1COCCO1
,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3c4ccccc4nc4ccccc34)cc2)cc1,CN(C)C=O
346.0,CN1c2ccccc2CCc2ccccc21,CC#N
,[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,OCCO
369.0,Cc1cc(-n2c3ccccc3c3cc(C#N)ccc32)ccc1-c1ccc(S(=O)(=O)c2ccccc2)cc1C,C1CCOC1
,O=c1oc2c3c4c(cc2nc1Cc1ccccc1)CCCN4CCC3,CCO
705.0,CC1(C)OC(=C(C#N)C#N)C(Sc2ccccc2)=C1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(C)=O
702.0,CCN1C(=CC2=C([O-])C(=CC3=[N+](CC)c4c(ccc5ccc(C)nc45)C3(C)C)C2=O)C(C)(C)c2ccc3ccc(C)nc3c21,ClC(Cl)Cl
,O=c1n(-c2ccccc2)nnc2c(-c3ccccc3)c(Cc3ccccc3)nn12,ClCCl
,Cc1cc(=O)oc2c(C(c3ccccc3)c3ccccc3)c(O)ccc12,CO
413.0,Oc1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nc2c3ccccc3c3ccccc3c2[nH]1,CCCCCC
,Nc1nn2c(-c3ccccc3)ccnc2c1N=Nc1ccc([N+](=O)[O-])cc1,C1CCCCC1
,COc1cc2c(=O)c3c(O)ccc(OC)c3oc2cc1O,CO
,CC(C)(C)/C=C1/c2c(ccc3ccccc23)OCC1O,CC#N
,Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,Cc1ccccc1
,FC(F)(F)c1ccc(-c2cc3ccccc3p2-c2ccccc2)cc1,C1CCOC1
,CN1C=CC(=C2C=CC(=O)C=C2)C=C1,CC#N
,COC(=O)/C=C/C1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)OC)c5C)C(=O)[C@@]4(C)CC(=O)OC)C(=O)[C@@]3(C)CC(=O)OC,ClC(Cl)Cl
,ClC1=C(Cl)c2nc1c(-c1c(Cl)cccc1Cl)c1[nH]c(c(Cl)c1Cl)c(-c1c(Cl)cccc1Cl)c1nc(c(-c3c(Cl)cccc3Cl)c3[nH]c(c(Cl)c3Cl)c2-c2c(Cl)cccc2Cl)C(Cl)=C1Cl,ClCCl
,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(C=Cc4ccc([N+](=O)[O-])cc4)cc32)c(C)c1,C1CCOC1
,CCCCN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)o3)N(CC(C)CC)C(=O)C2=C1c1ccc(-c2cc3ccccc3o2)o1,ClCCl
657.0,O=[N+]([O-])c1ccc(-c2sc(N(c3ccccc3)c3ccccc3)nc2-c2cccs2)s1,ClCCl
529.0,COc1ccc(C2=C3C=CC(=N[N+]#N)N3[B-](F)(F)n3cccc32)cc1,CCCCCC
545.0,CCCCc1cc(C(=O)CCC)c2ccc3c(CCCC)cc(N4CCCCC4)c4ccc1c2c34,ClCCl
746.0,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1nc(-c2ccccc2)n2ccccc12)CCC3,ClCCl
405.0,CN(C)c1ccc(-n2c(-c3ccncc3)nc3nccnc32)cc1,CC#N
,CCc1c(C)c2n(c1C)[B-](F)(F)n1c(C)c(CC)c(C)c1C2=C1C=CC(=[N+]=Cc2cccc(OC)c2[O-])C=C1,ClCCl
396.0,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CC(C)=O
,CC[N+](C)(CC)c1ccc(-c2cc(-c3ccc(OC)cc3)n3c2N=c2c(-c4ccc([N+](C)(CC)CC)cc4)cc(=C4C=CC(=[O+]C)C=C4)n2[B-]3(F)F)cc1,ClC(Cl)Cl
,C(#Cc1c2ccccc2c(C#Cc2ccccc2)c2ccccc12)c1ccccc1,ClCCl
423.0,COc1ccc(-c2cnc3nn4ccccc4c3c2)cc1,C1CCOC1
526.0,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3c2ccc3S(=O)(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(C)c1,C1CCCCC1
440.0,O=c1oc2ccccc2nc1-c1ccc(Cl)cc1,c1ccccc1
699.0,CCOC(=O)COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=C(c4[nH]c(C)cc4C)c4ccccc4C2=C3)cc1,CC#N
481.0,COc1ccc2c(c1)SC1=NC(=C3C=CC(=[N+](C)C)C=C3)O[B-](F)(F)N12,CC#N
643.0,C[N+](C)=C1C=Cc2cc(=C3C=C(c4ccccc4)O[B-](F)(F)O3)ccc2=C1,C1CCOC1
572.0,CC1=C(C)C(C)=[N+]2C1=Cc1c(Sc3ccc(C)cc3)c(C)c(C)n1[B-]2(F)F,ClCCl
669.0,COCCN1C2=CC=C(S(=O)(=O)O)CC2C(C)(C)C1=CC=CC=CC1=[N+](CCCCCC(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C1(C)CCCS(=O)(=O)[O-],O
560.0,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CO
,CC(C)(C)C1=CC(=C2c3ccccc3N(c3ccc(C(C)(C)C)cc3)c3ccccc32)C=C(C(C)(C)C)C1=O,C1CCOC1
631.0,N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccccc1,CO
,CC1(C)c2cc(-c3c4ccccc4c(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)c4ccccc34)ccc2-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc21,ClCCl
,CC(O)=Nc1ccc(N=Nc2ccc(O)c3ncccc23)cc1,CS(C)=O
428.0,CC(=O)n1cc(/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc21,CC#N
568.0,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)cc21,CC(C)=O
542.0,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,C1CCOC1
,Cc1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,ClC(Cl)Cl
,Cc1cc(C)n2c1C(=C1C=CN=CC1=[F+])c1c(C)cc(C)n1[B-]2(F)F,CO
551.0,CC(=O)c1ccc2ccc3c(NCCC(O)=NCCCCCCc4nc5c(O)nc(=N)[nH]c5n4[C@H]4C[C@H](O)[C@@H](CO)O4)ccc4ccc1c2c43,CS(C)=O
392.0,N#Cc1cccc2[nH]ccc12,CS(C)=O
589.0,Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c2ccc3N(Cc2ccccn2)Cc2ccccn2)cc1,C1CCCCC1
,COC(=O)CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)OC)c5C)C(C(C)=O)=C4C)c(C(C)O)c3C,ClCCl
,Cc1noc2nc3c(F)c(F)c(F)c(F)c3cc12,CCO
361.0,c1ccc2c(-n3cnc4ccccc43)cccc2c1,CCOCC
576.0,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)[O-])c3ccc(N(CC)CC)cc3[o+]c2c1,CN(C)C=O
,COc1ccc(C=Cc2cc(C=Cc3ccc(OC)cc3)nc(I)n2)cc1,ClCCl
421.0,CN(C)c1ccc(/C=C/C(=O)O)cc1,CCOC(C)=O
,Cc1cc(C)c(S(=O)(=O)Oc2c(F)cc3c(-c4ccccc4C(=O)O)c4cc(F)c(=O)c(F)c-4oc3c2F)c([N+](=O)[O-])c1,CC#N
426.0,CC(=O)c1ccc2nn(C)c(-c3ccc(C=O)o3)c2c1,CC#N
389.0,COc1ccc2c3c(c4ccc(OC)cc4c2c1)C1(c2ccccc2-c2ccccc21)c1ccccc1-3,C1CCCCC1
447.0,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(S(C)(=O)=O)n3)ccc21,Cc1ccccc1
400.0,CCOC(=O)c1c(-c2cc3ccccc3oc2=O)nn(-c2ccc(Br)cc2)c1C(=O)OCC,ClCCl
,O=c1c(Cc2cccc(O)c2)nc2c(Cc3ccccc3)[nH]c(-c3ccc(O)cc3)cn1-2,CO
,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc(-c3cc4c(s3)-c3sc(/C=C(\C#N)C(=O)O)cc3C4(C)C)s2)s1,C1CCOC1
,CCC1=C(C)c2cc3[nH]c(cc4nc(cc5cc(C)c(cc1n2)[nH]5)C(C(=O)CC(=O)OCc1ccccc1)=C4C)c(C)c3CC,ClCCl
,Cc1cc(-c2nc3ccc(Cl)cc3[nH]2)c(O)c(C(c2ccccc2)c2ccccc2)c1,ClCCl
,CC1(C)c2ccccc2N(c2ccc(-c3nccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)n3)cc2)c2ccccc21,CCCCCCC
510.0,CCCCc1cc(C(=O)CCC)c2ccc3c(CCCC)cc(N4CCCCC4)c4ccc1c2c34,Cc1ccccc1
516.8,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC=CC1=C2,CO
408.0,CCOC(=O)/C(C#N)=C\c1cn(-c2ccccc2)nc1-c1ccccc1,C1COCCO1
,CCC1=C(C)[C@H]2[C@H](c3ccc(I)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,Cc1ccccc1
634.0,O=[N+]([O-])c1ccc(C#Cc2ccc(-c3ccc(C#Cc4ccc([N+](=O)[O-])cc4)s3)s2)cc1,ClC(Cl)Cl
,COc1ccc2nc3ccccc3c(-c3ccccc3)c2c1Cl,ClC(Cl)Cl
,CCCCCCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc(C(=O)O)c5c(C(=O)O)cc(Oc6ccc(C(C)(C)C)cc6)c(c6c(Oc7ccc(C(C)(C)C)cc7)cc(c2c36)C1=O)c54,ClCCl
464.0,O=C1c2ccccc2-c2cnccc21,CCCCCC
627.0,COc1ccc2c3c([nH]c2c1)=[N+]1C(=C(c2c(C)cc(C)cc2C)c2cc4c5ccc(OC)cc5[nH]c4n2[B-]1(F)F)C=3,C1CCCCC1
,CCCCCCC1(CCCCCC)c2cc(-c3ccc(N(c4ccc(-c5ccc(-c6ccc(-c7ccc(/C=C(\C#N)C(=O)O)s7)s6)s5)cc4)c4ccc(-c5ccc6c(c5)C(CCCCCC)(CCCCCC)c5cc(-n7c8ccc(C(C)(C)C)cc8c8cc(C(C)(C)C)ccc87)ccc5-6)s4)s3)ccc2-c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc21,ClCCl
617.0,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,CC#N
738.0,C[N+]1=C(C=CC2=C3Oc4c(cc(F)c(N5CCCCCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO
553.0,CCn1c2cc(OC)ccc2c2c3nsnc3c3c4ccc(OC)cc4n(CC)c3c21,ClCCl
523.0,Cc1cc(C)cc(Cc2ccc3n2[B-](F)(F)[N+]2=CC=CC2=C3c2c(C)cc(C)cc2C)c1,ClCCl
495.0,c1ccc(N2c3ccccc3Sc3cc(-c4cccc5nc6ccccc6cc45)ccc32)cc1,CN(C)C=O
,COc1ccc2ccc3oc(=O)cc(COC(=O)CN=C(O)OCc4ccccc4)c3c2c1,CCO
467.0,COc1ccc(-c2nc(-c3ccc(OC)cc3C)nc(-c3ccc(N4c5ccccc5C5(c6ccccc6-c6ccccc65)c5ccccc54)cc3C)n2)c(C)c1,Cc1ccccc1
482.0,CCOC(=O)/C(C#N)=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1,ClC(Cl)Cl
,O=C(O)c1c(Cl)c(Cl)c(C(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(C(=O)O)c(Cl)c2Cl)c(Cl)c1Cl,CO
,CCCCCCc1cc(-c2ccc(-c3ccc4c(c3)N(c3ccc(C)cc3)C3CCCC43)c3nsnc23)sc1C1=S=C(/C=C(\C#N)C(=O)O)C=C1,ClCCl
568.0,O=[N+]([O-])c1ccccc1C1=[N+]2C(=C(c3c(Cl)cccc3Cl)c3ccc(-c4ccccc4[N+](=O)[O-])n3[B-]2(F)F)C=C1,C1CCOC1
,Cc1nccnc1C(=O)C=Cc1ccc(F)cc1,CCO
428.0,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccc6ccc7cccc8ccc5c6c78)cc4c4cc(-c5ccc6ccc7cccc8ccc5c6c78)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,CCCCCC
,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(-c5c(C)cc(/C(C#N)=C/C(=O)O)cc5C)c5nsnc45)s3)cc2)cc1,ClCCl
,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3c(C)c4n(c3C)[B-](F)(F)[N+]3=C(C)C(c5ccc(C=C(C#N)C(=O)O)s5)=C(C)C3=C4C)s2)cc1,ClC(Cl)Cl
457.0,CCCCc1cc(C=O)c2ccc3c(CCCC)cc(CCCC)c4ccc1c2c34,ClCCl
621.0,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3c(/C=C(\c4ccccc4)N4CCCC4)ccc32)c(C)c1,ClCCl
498.0,CN(CC(O)c1cccc(O)c1)c1ccc([N+](=O)[O-])c(C2CC(c3cccc4ccccc34)=NN2c2ccccc2)c1,CCOC(C)=O
518.0,C[O+]=C1C=CC(=C2c3cccn3[B-](F)(F)n3c(Br)ccc32)C=C1,CC#N
873.0,COc1cc2c3c4c(c5ccc(C(C)(C)C)cc5c5c(OC)c(OC)c(OC)c(c2c(OC)c1OC)c45)=[N+]1C3=Nc2c3c4cc(OC)c(OC)c(OC)c4c4c(OC)c(OC)c(OC)c5c6cc(C(C)(C)C)ccc6c(c3c54)n2[B-]1(F)F,Cc1ccccc1
571.0,CN(C)c1ccc2nc(/C=C/c3ccccc3)c(=O)oc2c1,CN(C)C=O
510.0,CN(C)c1ccc(-c2ccc(C#N)s2)s1,CCO
653.0,CCCN1C(=CC=C(C=CC2=[N+](CCC)c3ccccc3C2(C)C)c2ccc3ccccc3n2)C(C)(C)c2ccccc21,O
,CC(=O)OC[C@H]1O[C@@H](Oc2ccc(-c3c4nc(c(-c5ccc(N)cc5)c5ccc([nH]5)c(-c5ccc(N)cc5)c5nc(c(-c6ccc(N)cc6)c6ccc3[nH]6)C=C5)C=C4)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ClCCl
399.0,Cc1cc(=c2ccc(=C3[N+](C)=c4ccccc4=[N+]3C)cc2)ccc1=c1ccc(=C2N(C)c3ccccc3N2C)cc1,O
397.0,CCCCN1C(=c2ccc(=c3ccc(=c4ccc(=C5[N+](CCCC)=c6ccc(C)cc6=[N+]5CCCC)cc4)cc3)cc2)N(CCCC)c2cc(C)ccc21,O
