smiles,solvent,ex (nm)
CN(C)c1ccc(-c2nc3nc4ccccc4nc3n2-c2ccc(C(C)(C)C)cc2)cc1,CC#N,411.0
COc1ccccc1-c1nc(-c2ccc(C(F)(F)F)cc2)n(-c2ccc(C)cc2)c1-c1ccccc1OC,CS(=O)C,286.0
c1ccc2c(c1)cc1c3ccccc3c3cc4ccccc4c4ccc2c1c43,C(Cl)Cl,385.0
CCOC(=O)c1c2c3c(ccc(C)c3c3cc4c(cc13)[Si](C)(C)O[Si]4(C)C)N(C)C2=O,CC#N,380.0
COc1ccc(-c2cc(C)nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1,CN(C)C=O,340.0
Clc1nnc(Oc2ccc(N(c3ccc(Br)cc3)c3ccc(Br)cc3)cc2)nn1,C(Cl)Cl,524.0
O=Cc1ccc2c(c1)c1ccccc1n2-c1cc2ccccc2c2ccccc12,CC#N,314.0
CN(C)c1ccc2cc(C(/C=C/c3c[nH]c4ccccc34)=C(CN)CN)c(=O)oc2c1,C1CCOC1,447.0
CCCCCCCCC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(CC)CC)ccc1-2,C1CCOC1,378.0
CCC1=C(C)C2=C(c3ccc(C(=O)NCCNC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CO,524.0
CCCCCCCCC1(CCCCCCCC)c2cc(C=O)ccc2-c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,C(Cl)Cl,411.0
O=S(=O)(c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1)c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1,CCOCC,368.0
NCC(=Cc1ccc(-c2ccc(N(c3ccc4c(c3)OCCO4)c3ccc4c(c3)OCCO4)cc2)o1)C(=O)O,C(Cl)Cl,502.0
c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,CC(=O)N(C)C,337.0
COC(=O)c1ccc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(C)c(I)c(C)c32)cc1,C(Cl)Cl,537.0
CCOC(=O)c1c2c3ccc4c(=O)n(-c5c(C(C)C)cccc5C(C)C)c(=O)c5ccc(c2c2n1CCCn1c(C(=O)OCC)c6c7ccc8c(=O)n(-c9c(C(C)C)cccc9C(C)C)c(=O)c9ccc(c6c1-2)c7c89)c3c45,C(Cl)Cl,489.0
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(N(C)C)cc3)nc2c1,CS(=O)C,434.0
CCn1c2ccccc2c2nc3cc(C(=O)OC)c(C(=O)OC)cc3nc21,CN(C)C=O,410.0
CN(C)c1ccc(C2=Cc3c4ccccc4c4ccccc4[n+]3[B-](F)(F)O2)cc1,CN(C)C=O,484.0
COc1ccc(-c2c(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)n3c(c2-c2ccc(OC)cc2)c(C=O)c2ccccc23)cc1,CC#N,415.0
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCCCCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,632.0
FC(F)(F)c1ccc(-c2noc(-c3nnc(C=C[c-]4cccc4)o3)n2)cc1,C(Cl)(Cl)Cl,329.0
FS(F)(F)(F)(F)c1ccc(/C=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,CC(=O)C,397.0
CCCCc1ccc2ccc3c(CCCC)ccc4ccc1c2c43,CCCCCC,344.0
COc1cc2c(cc1OC)C1=C[C@H](c3ccccc3)C3(C(CN)=C(CN)N1CC2)c1cc(Cl)ccc1-c1ccc(Cl)cc13,C(Cl)Cl,310.0
Cc1ccc(-c2nc3cnccn3c2NC2CCCCC2)o1,CS(=O)C,368.0
C[C@H](NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21)c1ccccc1,C1CCCCC1,424.0
Cc1c(C(=O)c2ccccc2)c2ccc3cccc4c5cccc6ccc1c(c65)c2c34,C(Cl)Cl,391.0
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C(Cl)Cl,513.0
Cc1ccc2nc(-c3cc(-c4ccc(Cl)cc4)n(C)n3)c(NC(C)(C)C)n2c1,C(Cl)(Cl)Cl,329.0
CC1(C)Nc2cc3nc4cc(Cl)c(Cl)cc4nc3cc2N1,CCO,471.0
CCOC(=O)c1c(NCCBr)sc(/N=N/c2ccc(S(C)(=O)=O)cc2Cl)c1-c1ccccc1,CCO,495.0
CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,401.0
c1ccc2nc3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3cc2c1,CC(=O)C,358.0
CCCCCCOc1ccc(/N=N/c2ccccc2)cc1,CCO,346.0
c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccc(-n6c7ccccc7c7ccccc76)cc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)n2)cc1,CC1=CC=CC=C1,368.0
COC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2,C(Cl)Cl,378.0
CCCNC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,453.0
CCCCC1(CCCC)c2cc(CCc3ccc4ccc5cccc6ccc3c4c56)ccc2-c2ccc(CCc3ccc4ccc5cccc6ccc3c4c56)cc21,CCOC(=O)C,419.0
CC1=CC(C)=[N+]2C1=C(c1ccc(OCCN=NN)cc1)c1c(C)cc(C)n1[B-]2(F)F,C(Cl)Cl,501.0
S=C(NN=Cc1ccccc1OCCCOc1ccccc1C=NNC(=S)Nc1ccc(Br)cc1)Nc1ccc(Br)cc1,C(Cl)Cl,312.0
CCCCCCC1(CCCCCC)c2cc(/C=C(\CN)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(-c5ccc(OCCCC)cc5OCCCC)cc4)c4ccc(-c5ccc(OCCCC)cc5OCCCC)cc4)c4nsnc34)cc21,C(Cl)Cl,496.0
CCN(CC)c1ccc2cc(C=CC(=O)c3c(O)c4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,CC#N,511.0
CC1=CC(C)=[N+]2C1=C(CCC(=O)O)c1c(C)cc(C)n1[B-]2(F)F,C(Cl)Cl,502.0
CSc1sc(C(=O)c2ccccc2)c2nn[nH]c(=O)c12,CO,400.0
Cc1ccc(C2=C3C=CC(N(Cc4ccccn4)Cc4ccccn4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,C1CCCCC1,518.0
CN(C)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,CC#N,409.0
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOC(=O)C,496.0
COc1ccc2c(=O)c3c([nH]c2c1)-c1cc(Cl)ccc1NC3(C)C,CO,428.0
CCc1c(C)[nH]c(C2=[N+]3C(=Cc4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CO,623.0
NCSc1ccc2n1[B-](F)(F)[N+]1=C(N3CCOCC3)C=CC1=C2c1ccccc1,C(Cl)Cl,468.0
CCCCOC(=O)CCCN1/C(=C\C2=C([O-])/C(=C/C3=[N+](C)c4ccccc4C3(C)C)C2=C(CN)CN)Sc2ccccc21,C(Cl)Cl,686.0
F[B-]1(F)n2c(c3cccc4cccc2c43)=Nc2cccc(Cl)[n+]21,C(Cl)Cl,447.0
COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC,C(Cl)(Cl)Cl,396.0
Cc1ccc(N(c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)cc2)c2ccc(/C=N/N(c3ccccc3)c3ccccc3)cc2)cc1,C(Cl)(Cl)Cl,495.0
Cc1ccc(-c2nc(N(c3ccccc3)c3ccccc3)sc2-c2ccc([N+](=O)[O-])s2)cc1,CC#N,470.0
CC(C)CCC1(CCC(C)C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(CCC(C)C)(CCC(C)C)c4ccccc4-5)c4ccc5cc(C(C)(C)C)cc6ccc3c4c65)cc21,C(Cl)Cl,414.0
CC1=C(I)C(C)=[N+]2C1=C(OCCCN1C(=O)c3ccccc3C1=O)c1c(C)c(I)c(C)n1[B-]2(F)F,CCCCCC,532.0
CCCCn1c2cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(/C=C(\CN)C(=O)O)ccc4-5)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc21,C(Cl)Cl,420.0
CCCCCCCCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCCCCCCC)c4ccc(C(=O)O)cc4C3(C)C)C2=C(CN)CN)C(C)(C)c2ccccc21,CN(C)C=O,688.0
Nc1cc(F)c(C(=O)c2cc(F)c(N)cc2F)cc1F,CCO,340.0
CC1(C)c2ccccc2N(c2ccc3c(c2)c2ccccc2c2nc4ccccc4nc32)c2ccccc21,CC1=CC=CC=C1,382.0
CCCCCCCCOc1ccc(OCCCCCCCC)c(/C=C/C2=[N+]3C(=C4c5ccc(/C=C/c6cc(OCCCCCCCC)ccc6OCCCCCCCC)n5[B-](F)(F)[n+]5c4n(c4ccccc45)[B-]3(F)F)C=C2)c1,C(Cl)Cl,784.0
CCN1c2cc3c(cc2C(CS(=O)(=O)O)=CC1(C)C)C(c1ccccc1C(=O)N(C)CCCC(=O)O)=c1cc2c(cc1O3)=[N+](CC)C(C)(C)C=C2CS(=O)(=O)O,O,602.0
CC(C)(C)c1cc(/C2=C3\C=CC(=N3)/C(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)=c3/cc/c4n3[Zn]n3c(ccc32)/C(CCc2ccc(C(=O)O)cc2)=C2/C=CC(=N2)/C=4c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1,C1CCOC1,627.0
F[B-]1(F)OC(c2ccccc2)=Cc2cc(Cl)nc[n+]21,CC#N,371.0
O=C(CCCC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21)ON1C(=O)CCC1=O,C(Cl)Cl,498.0
CN1/C(=C/C=C(/C=C/c2sc3ccccc3[n+]2C)c2ccc(C(F)(F)F)cc2)Sc2ccccc21,CS(=O)C,652.0
O=S1(=O)C2=C(c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc31)C1(C3=C(c4ccccc41)S(=O)(=O)c1cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc13)c1ccccc12,C(Cl)Cl,438.0
O=S(=O)(c1cccc(N2c3ccccc3Sc3ccccc32)c1)c1cccc(N2c3ccccc3Sc3ccccc32)c1,C(Cl)(Cl)Cl,296.0
CC1(C)C2=[N+](c3ccc(Cl)cc31)[B-](F)(F)n1cccc1-c1c2cc2n1CC=C2,CC1=CC=CC=C1,473.0
CN(C)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CC#N,343.0
CN(C)c1ccc(/N=N/c2c(F)c3[nH]c4ccccc4sc3c3sc4ccccc4sc23)cc1,CCO,404.0
c1ccc(N2c3ccccc3Sc3cc(-c4cccc5nc6ccccc6cc45)ccc32)cc1,CN(C)C=O,407.0
COC(=O)CCCCCCC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCO,498.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CS(=O)C,292.0
COc1cc2c(-c3ccccc3)c(-c3ccccc3)c3cccc4c(-c5ccccc5)c(-c5ccccc5)c(c1)[n+]2c34,C(Cl)Cl,355.0
CCc1c(C)c2n(c1C)[B-](F)(F)N1C(=[NH+]Cc3ccc(OC)cc3)C(SCN)=CC1=C2C,CO,562.0
CN(C)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,C1CCCCC1,402.0
CN(C)c1ccc2c(c1)C(=O)NC2=O,C1CCOC1,377.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCOC(=O)C,396.0
Cc1ccc(C2=[N+]3C(=Cc4ccc(C)n4[B-]3(F)F)c3ccccc32)[nH]1,CC#N,592.0
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,C1CCOC1,399.0
Clc1nc(Cl)nc(Nc2ccc3cc4ccccc4cc3c2)n1,CCOC(=O)C,394.0
C[Si](C)(C)[Si](c1cc2sc3cc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)sc3c2s1)([Si](C)(C)C)[Si](C)(C)C,C(Cl)Cl,334.0
CCN1c2ccccc2Sc2cc(C=CC(=O)O)ccc21,CC#N,381.0
CCCN1c2ccccc2Sc2cc(/C=C\c3cc(=O)oc4cc(C)c(Cl)cc34)ccc21,C(Cl)(Cl)Cl,432.0
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,C1CCOC1,365.0
CC(C)[Si](CCc1c2cc3ccccc3cc2c(CCc2ccccc2)c2cc3ccccc3cc12)(C(C)C)C(C)C,C(Cl)Cl,652.0
CCCCN(CCCC)c1ccc([C+]2C([O-])[C+](c3ccc(N(C)CCOC(=O)CCC(=O)Oc4ccc5c(=C(CN)CN)c6cc([O-])ccc6c(=C(CN)CN)c5c4)cc3)C2O)cc1,C(Cl)(Cl)Cl,633.0
CCCCCCOc1ccc(-c2ccc3c(c2)Sc2cc(/C=C(/CN)C(=O)O)ccc2N3CCCCCC)c(OCCCCCC)c1,C(Cl)Cl,477.0
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CN(C)C=O,339.0
CCN(CC)c1ccc(OC)c(C=O)c1,CCOC(=O)C,406.0
CN(C)c1ccc2nc(/C=C/c3ccccc3)c(=O)oc2c1,CN(C)C=O,469.0
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,C(Cl)Cl,368.0
F[B-]1(F)n2c(ccc2N2CCOCC2)C(c2ccccc2)=C2C=CC(N3CCOCC3)=[N+]21,CO,561.0
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)C1=CC2=C(c3ccc(C(F)(F)F)cc3)c3cccn3[B-](F)(F)[N+]2=C1,CCOC(=O)C,510.0
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC#N,385.0
Cc1cc2c3ccccc3[nH]c2c2[nH]c3ccccc3c12,C(Cl)Cl,323.0
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,CC#N,412.0
COC(=O)c1ccc(CCc2ccc(N(C)C)cc2)cc1,C1COCCO1,361.0
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC1=CC=CC=C1,462.0
CC1=CC(C)(C)Nc2ccc3c(-c4ccc(F)cc4)c4ccc(=[NH2+])cc-4n(C)c3c21,O,505.0
CC1(C)OC(=C(CN)CN)C(S(=O)(=O)c2ccccc2)=C1/C=C/c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,C(Cl)Cl,506.0
CCOC(=O)c1sc2nc(-c3ccccc3)c(C)c(CN)c2c1N,CCO,423.0
CCCCCCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5ccc(C(F)(F)F)cc5)c(OC)cc4c3c3c2ccc2cc(-c4ccc(C(F)(F)F)cc4)c(OC)cc23)C1=O,C(Cl)Cl,427.0
c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,CC1=CC=CC=C1,337.0
CCn1c2ccccc2c2cc(CCc3cc(CCc4ccc5c(c4)c4ccccc4n5CC)nc(OC)n3)ccc21,CCOC(=O)C,384.0
CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CCCCCC,345.0
COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,CCOC(=O)C,526.0
CN(C)c1ccc(/C=C/c2ncccn2)cc1,C(Cl)Cl,379.0
COc1ccc(C2=C3C=C(c4cc(OC)c(OC)cc4[N+](=O)[O-])C=[N+]3[B-](F)(F)n3cc(-c4cc(OC)c(OC)cc4[N+](=O)[O-])cc32)cc1,C(Cl)Cl,542.0
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc([N+](=O)[O-])cc2)cc1,CCOC(=O)C,352.0
C[N+](C)(C)CCC[N+](C)(C)CCCCCCOc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,C(Cl)Cl,499.0
CC(C)(C)c1cc2c3c(c1)c1cc(C(C)(C)C)cc4c1n3B1c3c-2cccc3-c2cc(C(C)(C)C)cc3c5cc(C(C)(C)C)cc-4c5n1c23,C(Cl)Cl,439.0
COc1ccc(C2=C3C=CC(n4cc(-c5ccccc5)nn4)=[N+]3[B-](F)(F)n3cccc32)cc1,C(Cl)(Cl)Cl,528.0
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2cccs2)s1,C(Cl)Cl,340.0
Cc1ccc2c(C=Cc3ccc(N(C)c4ccccc4)cc3)cc(=O)oc2c1,C(Cl)(Cl)Cl,424.0
COc1ccc(C2=[N+]3C(=C(c4ccc(C(=O)OCc5ccccc5)cc4)c4cc(Cl)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2Cl)cc1,CC1=CC=CC=C1,604.0
O=[N+]([O-])c1ccc(CCc2ccc(-c3ccc(-c4ccc(CCc5ccc([N+](=O)[O-])cc5)s4)s3)s2)cc1,C1CCOC1,436.0
CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,C1CCOC1,446.0
CC(C)N1/C(=C/C2=C([O-])/C(=C\C3=[N+](C(C)C)c4ccccc4C3(C)C)C2=C2C(=O)c3ccccc3C2=O)C(C)(C)c2ccccc21,C(Cl)Cl,678.0
CCCCC(CC)COc1ccc(-c2ccc(N(c3ccc(-c4ccc(-c5ccc(-c6ccc(C=C(CN)C(=O)O)cc6)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)s4)cc3)c3ccc(-c4ccc(OCC(CC)CCCC)cc4OCC(CC)CCCC)cc3)cc2)c(OCC(CC)CCCC)c1,C(Cl)Cl,491.0
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)C=C2c3ccccc3C(c3ccccc3)=[N+]21,C(Cl)Cl,634.0
COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(N(C)C)cc3OC)nc2c1,CC#N,343.0
CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)Sc3cc(-c5ccc(CCc6ccc(C(=O)O)cc6)s5)ccc3N4c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,CN(C)C=O,418.0
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(OC)cc2)cc1,C(Cl)Cl,383.0
c1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccc4ccc5c(N(c6ccccc6)c6ccc(N(c7ccccc7)c7ccccc7)cc6)ccc6ccc3c4c65)cc2)cc1,C(Cl)Cl,438.0
CN1c2ccccc2C(O)(c2ccccc2)c2cc([N+](=O)[O-])ccc21,CCO,394.0
Cc1ccc(C2=C3C=CC(N(Cc4ccccn4)Cc4ccccn4)=[N+]3[B-](F)(F)n3c(CCc4ccccc4)ccc32)cc1,CN(C)C=O,527.0
CCCCn1c2cc(-c3ccc(-c4ccc(/C=C(\CN)C(=O)O)s4)s3)ccc2c2ccc(-n3c4ccccc4c4ccccc43)cc21,C(Cl)Cl,476.0
COc1cc(/C=C/c2nc3ccccc3s2)c(OC)cc1/C=C/c1nc(C)nc(C)n1,CC#N,423.0
Oc1ccc(/N=N/c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cccnc12,CCO,417.0
C(=C/c1ccnc2ccccc12)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)(Cl)Cl,397.0
CCCCOC(=O)/C=C/c1c(C(=O)OC)cc2ccccn12,C(Cl)Cl,394.0
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,CC#N,391.0
Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,CS(=O)C,329.0
O=C1CC(=O)Nc2cc(Cl)ccc2N1,CS(=O)C,298.0
CN(C)c1cccc2c(S(=O)(=O)NCCCCCC(=O)ON3C(=O)CCC3=O)cccc12,CO,335.0
Cc1ccc(-n2c(-c3ccccc3O)nc(-c3ccccc3O)c2-c2ccccc2O)cc1,CS(=O)C,306.0
CCCCCCn1c2c(c3cc(CCc4ccc(-c5ccc(C(=O)O)cc5)c5nsnc45)ccc31)C(CCCCCC)(CCCCCC)c1ccccc1-2,C(Cl)Cl,468.0
c1ccc(-c2nc(-c3c[nH]c4ccccc34)n3ccccc23)cc1,O,390.0
NCC1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCO,682.0
Cc1cc(C)c(B(c2ccc(B3Oc4ccccc4O3)s2)c2c(C)cc(C)cc2C)c(C)c1,C1CCCCC1,335.0
Cc1c(/N=N/c2ccc(C(=O)O)cc2)c(O)[nH]c(=O)c1C(N)=O,CCO,422.0
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3nc4c(-c5ccc(-c6cc(CCCCCC)c(C=C(CN)C(=O)O)s6)s5)ccc(-c5ccc(-c6cc(CCCCCC)c(C=C(CN)C(=O)O)s6)s5)c4n3CCCCCC)cc2)cc1,C1CCOC1,488.0
CCN(CC)c1ccc(/C=C/c2sc3ccccc3[n+]2CC(=O)[O-])c(O)c1,CO,535.0
CCOC(=O)c1c(-c2cc3ccccc3oc2=O)nn(-c2ccc(OC)cc2)c1C(=O)OCC,C(Cl)Cl,323.0
