abs,em,plqy,k,smiles,solvent,solvent_num,tag,tag_name,Molecular_Weight,LogP,TPSA,Avg_Gasteiger_Charge,Double_Bond_Count,Ring_Count,unimol_plus,split
,,,,CN(C)c1ccc(/C=C/c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6s5)cc4)o3)cc2)cc1,Cc1ccccc1,6,10,5p6,499.6390000000001,8.521700000000003,42.16,-0.039851647,34,6,3.0900207,train
485.0,545.0,,44000.0,CCCCN1C(=O)C2=C(c3ccc(-c4ccccc4)cc3)N=C(O)C2=C1c1ccc(-c2ccccc2)cc1,ClCCl,0,4,Cyanine,496.6100000000002,7.755400000000007,52.900000000000006,-0.044807211,28,6,2.6885762,train
,,0.0140000004321336,,Cc1ccc(-c2c3ccccc3[o+]c3ccccc23)cc1,CC#N,4,9,Acridines,271.339,5.842520000000004,11.3,0.0068548262503635,22,4,3.4348323,test
420.0,517.0,,10000.0,COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,CC(C)=O,12,11,6p6,435.5310000000002,5.165270000000005,88.78999999999999,-0.046359653,24,5,3.6511703,train
489.0,,,,N#CC(C#N)=C1C=C(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)OC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,ClC(Cl)Cl,3,6,Triphenylamine,682.8270000000002,12.49455999999998,63.29,-0.040870271,41,7,4.171593,train
326.0,415.0,,,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,ClCCl,0,12,5n6,297.358,3.856900000000002,30.71,-0.035061334,17,4,4.1295366,test
471.0,555.0,0.0049999998882412,,F[B-]1(F)n2c(ccc2N2CCCCC2)C(c2c(Cl)cccc2Cl)=C2C=CC=[N+]21,CC#N,4,5,BODIPY,420.0990000000001,5.434000000000005,11.18,-0.034201343,14,5,3.479239,train
660.0,,,,COc1ccc(N(C)c2ccc3c(c2)[Si](C)(C)C2=CC(=[N+](C)c4ccc(OC)cc4)C=CC2=C3c2ccccc2C)cc1,CCO,2,9,Acridines,583.8280000000002,7.961420000000009,24.71,-0.028487687,28,6,2.5865858,train
364.0,434.0,,,Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc(C(F)(F)F)cc1,CN(C)C=O,9,13,6n6,321.342,5.593420000000003,32.59,-0.044431442,13,2,3.7006674,train
394.0,500.0,0.5400000214576721,,N#Cc1cnc(-c2c3ccccc3c(-c3ncc(C#N)cn3)c3ccccc23)nc1,ClCCl,0,8,PAHs,384.402,4.650360000000004,99.14,-0.028107558,28,5,2.922141,test
343.0,423.0,0.6100000143051147,,Cc1nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1,C1CCOC1,5,3,Carbazole,576.7030000000002,10.31321999999999,35.64,-0.037322577,48,9,3.8249779,train
396.0,498.0,0.0076999999582767,10000.0,CSc1sc(C(C)=O)c2nnnc(O)c12,CO,1,-1,None,241.297,1.7163999999999997,75.97,-0.032902702,11,2,3.6301167,train
632.0,645.0,0.82,,Cc1ccc(C2=C3C=CC(/C=C/c4ccccc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccccc4)ccc32)cc1,C1CCOC1,5,5,BODIPY,486.3740000000002,7.699320000000007,7.939999999999999,-0.040201749,28,6,2.494424,train
482.0,628.0,0.0,20926.0,CC(C)n1nc(C#CC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O,8,8,PAHs,398.47000000000014,3.4430000000000014,89.93,-0.042796185,22,4,3.3061705,train
,,,4.440000057220459,CC(C)CC(=O)c1c(O)c(Cc2c(O)c(C(=O)CC(C)C)c(O)c(C(=O)CC(C)C)c2O)c(O)c(C(=O)CC(C)C)c1O,ClC(Cl)Cl,3,13,6n6,600.7050000000002,6.4262000000000095,189.66,-0.065024775,16,2,4.3231716,test
,,,4.309999942779541,COc1cc(O)c(Cc2c(O)cc3c(c2O)[C@H](OC)OC3=O)cc1Cc1c(O)cc(C(=O)O)c(C=O)c1O,CCO,2,10,5p6,526.4500000000004,2.7309000000000005,200.28,-0.072665743,21,4,3.9656322,train
379.0,440.0,0.5600000023841858,,CCN(CC)c1ccc2ccc(=O)oc2c1,CN(C)C=O,9,2,Coumarin,217.268,2.6392000000000007,33.45,-0.042146324,12,2,3.9774394,valid
519.0,530.0,0.2899999916553497,,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,Cc1ccccc1,6,5,BODIPY,396.249,6.1418200000000045,7.939999999999999,-0.034049122,24,6,2.8373208,train
,,,124000.0,O=C(O)CC1c2nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C(CC(=O)O)C3CC(=O)O)C1CC(=O)O,CS(C)=O,7,7,Porphyrin,850.9280000000001,10.6164,206.56,-0.054590156,50,9,4.10846,valid
451.0,,,,O=C(O)c1cc(C(=O)O)cc(-c2nc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)nc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)n2)c1,CN(C)C=O,9,6,Triphenylamine,948.1419999999998,15.67239999999997,119.75,-0.043828715,62,10,4.249578,test
460.0,576.0,,148000.0,C[N+](C)=C1C=CC(=CC=C2C=CN(CCCOCC(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,C1COCCO1,13,4,Cyanine,1197.6669999999992,11.739199999999991,61.92,-0.030235851,28,8,3.6119108,train
375.0,438.0,0.0,30200.0,CC(C)(C)c1ccc(/C=c2\o/c(=C\c3ccccc3)c3ccccc23)cc1,ClCCl,0,10,5p6,352.47700000000003,5.3879000000000055,13.14,-0.043091001,24,4,3.282358,valid
316.0,385.0,0.3799999952316284,,B1Nc2cccc3c2-n2c1ccc2BN3,ClCCl,0,12,5n6,192.82700000000003,-0.7181,28.99,-0.042007147,11,4,4.684889,train
,,,3.630000114440918,Cc1cc(O)cc(O)c1C(=O)c1c(O)cc(O)cc1Cc1cc(O)c(Cc2c(O)cc(Cc3cc(O)cc(O)c3C(=O)c3c(C)cc(O)cc3O)oc2=O)c(=O)o1,CO,1,13,6n6,780.6910000000004,4.500240000000011,296.86,-0.070522176,40,6,4.249977,train
474.0,608.0,0.1519999951124191,8900.0,CN(C)c1ccc2ccc3oc(=O)c(-c4ccccc4)nc3c2c1,c1ccccc1,15,2,Coumarin,316.36,4.074200000000003,46.34,-0.037854337,23,4,2.9676697,train
350.0,,,,O=[N+]([O-])c1ccc[nH]1,O,8,-1,None,112.08799999999998,0.9228999999999998,58.93,-0.069832185,6,1,4.5983167,train
,,,9550.0,CC(=O)O[C@@]1(C)CCC2=C(C(=O)c3c(O)ccc(O)c3C2=O)[C@@H]1O,ClC(Cl)Cl,3,9,Acridines,332.30800000000005,1.2498999999999998,121.13,-0.054677093,10,3,3.2695088,train
449.0,567.0,0.0230000000447034,56000.0,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,ClC(Cl)Cl,3,6,Triphenylamine,351.40900000000016,5.595560000000004,60.05,-0.04050987,19,3,3.2680426,train
,,,5700.0,Cl[C]1C(Cl)=C(C#Cc2ccc(N3CCCCC3)cc2)C(Cl)=C(Cl)C1=C(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,N#Cc1ccccc1,33,13,6n6,908.8129999999996,16.030989999999992,3.24,-0.013210082,21,5,3.1663394,test
456.0,585.0,,,CCCCCCN(CCCCCC)c1ccc2cc3cc(C(=O)CC)ccc3cc2c1,CCCO,20,8,PAHs,417.6370000000002,8.552700000000005,20.31,-0.045726925,17,3,3.3932264,test
,,,167000.0,COC(=O)CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CCC(=O)OC)c5C)C(CC(F)F)=C4C)c(CC(F)F)c3C,ClCCl,0,7,Porphyrin,666.7160000000003,8.314640000000004,109.96000000000002,-0.041282256,26,5,3.0081854,train
,,,46773.0,COc1cc2sc3ccccc3c(=O)c2cc1Cl,CO,1,9,Acridines,276.744,4.0767000000000015,26.3,-0.032482103,17,3,4.032013,test
509.0,537.0,,,CCOC(=O)C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CS(C)=O,7,4,Cyanine,320.1480000000001,3.0487400000000013,34.24,-0.030992729,9,3,3.2942598,train
,,,28183.0,COc1ccc2[nH]c3cc(Cl)ccc3c(=NCCN=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)c2c1,CO,1,9,Acridines,576.0060000000004,1.698100000000002,188.35,-0.069275063,21,3,3.840587,test
338.0,373.0,,,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2nc3ccccn3n2)cc(-n2c3ccccc3c3ccccc32)c1,Cc1ccccc1,6,3,Carbazole,525.6150000000001,8.590500000000002,40.05,-0.036161968,46,9,3.637856,test
,,,645.0,COc1ccc2nc3ccc(C)cc3c(-c3ccccc3)c2c1F,ClC(Cl)Cl,3,9,Acridines,317.36300000000006,5.5111200000000045,22.12,-0.038282562,22,4,3.4716105,train
419.0,540.0,,,CN(C)c1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,CC#N,4,13,6n6,285.77399999999994,4.302100000000004,20.31,-0.045596398,14,2,3.3902566,train
375.0,,,,COc1cc2c(COC(=O)[C@H](C)N=C(O)OCc3ccccc3)cc(=O)oc2c2ccccc12,CCO,2,2,Coumarin,461.47000000000014,4.517300000000003,107.56000000000002,-0.048476292,25,4,3.711012,test
343.0,460.0,,,C/C(=N\Nc1ccc(C#N)cc1)c1ccccn1,ClC(Cl)Cl,3,13,6n6,236.278,2.7893800000000004,61.07,-0.045042669,13,2,3.9394295,valid
,,,33113.0,c1ccc(Cc2ccc(-c3c(Cc4ccccc4)c4ccccc4n3Cc3ccccc3)cc2)cc1,CCO,2,10,5p6,463.62400000000014,8.538200000000005,4.93,-0.047097794,34,6,4.551882,train
359.0,582.0,,,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CC#N,4,6,Triphenylamine,1174.3319999999992,19.14933999999999,3.24,-0.038371099,60,13,3.6391556,train
615.0,638.0,0.1400000005960464,,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(/C=C/C3=CC(/C=C/c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C=C(C)C4=C5c4ccccc4)=[O+][B-](F)(F)O3)c(C)n1[B-]2(F)F,C1CCOC1,5,5,BODIPY,816.2730000000004,10.501379999999996,36.41,-0.030375761,32,9,4.2498016,train
319.0,,,,N#CC(C#N)=CNc1cccc(F)c1,CS(C)=O,7,15,Benz,187.177,2.16866,59.61,-0.036400513,7,1,4.3535366,test
504.5,512.5,0.871,,C[O+]=C1C=CC(=C2c3c(C)cc(C)n3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc21,CCCCCC,11,5,BODIPY,404.2690000000002,5.484780000000005,21.16,-0.042374957,19,5,3.2375891,train
564.0,590.0,0.15,,COc1cc(Cl)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O,7,5,BODIPY,388.61000000000007,4.564820000000004,37.400000000000006,-0.046156102,15,4,2.9781165,train
349.0,435.0,0.3919999897480011,,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc(-c5ccccn5)n(-c5ccccc5)n4)cc3)cc2)cc1,ClCCl,0,6,Triphenylamine,541.6580000000001,9.1331,46.84,-0.041190538,41,7,3.463709,train
,,,10715.2001953125,COC(=O)CCC(=O)OC[C@]1(C)CCC[C@]2(C)[C@H]3CCC(=O)C=C3C(=O)C[C@H]21,CO,1,11,6p6,390.47600000000017,3.1738000000000017,86.74000000000001,-0.040547195,5,3,4.1588182,train
362.0,577.0,0.050000000745058,,COc1cc2cc(C#Cc3ccc([N+](=O)[O-])cc3)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1OC,ClC(Cl)Cl,3,8,PAHs,478.46000000000026,5.473000000000005,104.74,-0.033263591,25,4,3.7044966,test
469.0,,,,CCCCCCc1cc(-c2cc3c4nn(CC(CC)CCCC)nc4c4cc(-c5cc6c(s5)c5ccccc5n6CC(CC)CCCC)sc4c3s2)sc1/C=C(/C#N)C(=O)O,C1CCOC1,5,10,5p6,888.3069999999997,15.972779999999958,96.73,-0.035979951,39,8,4.250059,train
610.0,652.0,0.209999993443489,93325.0,CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N,4,5,BODIPY,433.3550000000001,6.162680000000006,23.73,-0.034780788,18,5,2.9656863,train
,,,12000.0,Nc1ccc2nc(Cc3ccccc3)c(=O)oc2c1,CCO,2,2,Coumarin,252.273,2.3610000000000007,69.12,-0.047325432,18,3,3.8448396,train
,,,10965.0,CCO[C@@H]1C[C@H]2C(C)(C)CCC[C@]2(C)C2=C1C(=O)C(C(C)C)=C(O)C2=O,CO,1,11,6p6,360.4940000000001,4.544300000000004,63.6,-0.045887385,4,3,3.3452332,test
,,,14350.0,COc1ccc(N(c2ccc(C#CC3=C(Cl)[C](Cl)C(=C(c4c(Cl)c(Cl)c(C#Cc5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)c(Cl)c4Cl)c4c(Cl)c(Cl)c(C#Cc5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)c(Cl)c4Cl)C(Cl)=C3Cl)cc2)c2ccc(OC)cc2)cc1,ClCCl,0,6,Triphenylamine,1638.817999999999,26.994490000000056,65.10000000000001,-0.033428424,69,12,3.7072794,test
,839.0,,,CC(C)(C)c1cc2ccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc4c5nc6cc(C#N)c(C#N)cc6nc5c(c1)c2c34,ClCCl,0,6,Triphenylamine,653.7889999999999,11.85805999999998,76.6,-0.031624154,47,9,3.694572,valid
,,,9414.0,O=c1nc(O)c(Cc2cccc(OCc3ccccc3)c2)cn1COC(CO)CBr,CCO,2,13,6n6,475.33900000000017,2.848600000000001,93.81,-0.060348119,19,3,4.73953,valid
528.0,550.0,,,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,CO,1,9,Acridines,482.5800000000003,5.766200000000006,70.30000000000001,-0.038065747,29,5,3.0616636,train
341.0,413.0,0.07,,Cc1ccc(-c2ccc(C(=O)NC(C)(C)C)c3c2ccc2c4ccccc4c4ccccc4c23)cc1,ClCCl,0,8,PAHs,467.6120000000002,8.803120000000002,29.1,-0.041121987,33,6,3.8503168,train
392.0,475.0,0.0207000002264976,12000.0,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3ccc(OC)cc3c12,ClCCl,0,12,5n6,333.3470000000001,3.5733000000000024,77.10000000000001,-0.043169249,22,4,3.5552464,train
,,,9333.0,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2CC(Cc3cccc(C(=O)O)c3)=C[C@H]2C[C@H]1O,CCO,2,12,5n6,384.5160000000001,4.368000000000004,77.76,-0.066370402,9,3,5.055045,train
,,,11481.0,O=C1C(Cl)=CC(Cl)=C2C(=O)c3ccccc3C(c3ccccc3)=C12,c1ccccc1,15,9,Acridines,353.20400000000006,4.883100000000003,34.14,-0.026203756,17,4,2.6121895,train
,,,17000.0,COC(=O)[C@@]12Oc3cc(C)cc(O)c3C(=O)C1=C(O)CC[C@@H]2O,CCO,2,9,Acridines,320.2970000000001,1.1543199999999998,113.29000000000002,-0.061277236,9,3,4.6061153,valid
471.0,,,,CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4nc5cc(C(=O)O)c(C(=O)O)cc5nc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,C1CCOC1,5,6,Triphenylamine,989.2319999999996,16.085599999999964,125.32,-0.043548151,51,10,3.7291949,train
706.0,,,,F[B-]1(F)n2c(c(-c3ccccc3)c3c2-c2ccccc2SC3)N=C2C(c3ccccc3)=C3CSc4ccccc4C3=[N+]21,ClC(Cl)Cl,3,5,BODIPY,585.5130000000003,8.769000000000002,20.3,-0.030999137,32,9,2.8968682,test
487.0,518.0,0.0005000000237487,,C[N+](C)=C1C=CC(=C2c3cccn3[B-](F)(F)n3cccc32)C=C1,CS(C)=O,7,5,BODIPY,311.144,3.015000000000001,12.87,-0.055534663,14,4,3.4077742,train
504.0,540.0,0.050000000745058,33000.0,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC(I)=CC1=C2,OCC(F)(F)F,25,5,BODIPY,373.981,3.6603400000000033,7.939999999999999,-0.030648128,8,3,1.98322,train
419.0,,,,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,C1CCCCC1,10,6,Triphenylamine,448.5690000000001,8.887580000000002,27.03,-0.04330604,31,5,3.3953533,train
362.0,386.0,0.3400000035762787,121000.0,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,C1CCOC1,5,13,6n6,1255.2989999999986,18.046259999999982,0.0,-0.037190375,60,13,3.781283,train
407.0,530.0,0.0860000029206276,6607.0,F[B-]1(F)Oc2ccccc2-c2cnc3ccccc3[n+]21,Cc1ccccc1,6,11,6p6,270.047,2.804400000000001,26.0,-0.030200055,17,4,3.457369,train
,,,30199.0,c1ccc(Cc2ccc(-c3cc4ccccc4[nH]3)cc2)cc1,CCO,2,10,5p6,283.374,5.425700000000004,15.79,-0.050916059,22,4,4.3160343,valid
,539.0,0.3300000131130218,,CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,CCCCCC,11,8,PAHs,427.5500000000001,5.674900000000004,37.38,-0.030026742,24,6,2.3409936,valid
,,,55500.0,CC1=C(c2ccccc2)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4/N=C(O)C(C)=C4c4ccccc4)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)N=C1O,ClC(Cl)Cl,3,15,Benz,684.7930000000001,8.15424000000001,171.36,-0.058331826,30,6,3.473322,test
368.0,439.0,0.699999988079071,,CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,Cc1ccccc1,6,13,6n6,225.291,3.2321000000000017,20.31,-0.052383479,13,2,3.6408231,train
387.0,460.0,0.048,34713.6,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CCOC(C)=O,14,8,PAHs,363.464,6.105700000000005,31.92,-0.047392788,27,5,3.4058907,train
,,,32600.0,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,C1CCOC1,5,13,6n6,288.255,2.0850000000000004,115.06,-0.077991759,14,2,5.1424947,train
,,,12900.0,CCCCc1ccc(C2=N/C(=C(/c3ccc(C(F)(F)F)cc3)c3[nH]c(-c4ccc(CCCC)cc4)c(-c4ccc(CCCC)cc4)c3-c3ccc(C(F)(F)F)cc3)C(c3ccc(C(F)(F)F)cc3)=C2c2ccc(CCCC)cc2)cc1,ClCCl,0,12,5n6,1105.2859999999998,21.31580000000002,28.15,-0.035582612,50,9,3.7068827,train
,,,19498.400390625,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)O[C@@H](C)[C@H](C)C3=O,CO,1,8,PAHs,332.3520000000001,3.1709000000000014,74.22,-0.054223128,12,3,3.4896169,train
575.0,601.0,0.5699999928474426,,Cc1cc(C)c(C2=C3C=CC(c4ccc[nH]4)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,C1CCOC1,5,5,BODIPY,375.2310000000001,4.808760000000003,23.73,-0.039256732,19,5,3.0422115,train
420.0,513.0,,,CCCCn1c2cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(/C=C(\C#N)C(=O)O)ccc4-5)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc21,ClCCl,0,3,Carbazole,788.0290000000002,14.53797999999997,69.25999999999999,-0.040882231,46,9,4.2501407,train
344.0,431.0,0.1120000034570694,2250.0,CC1(C)c2ccccc2N(c2ccc(-c3cccc(C#N)c3)cc2)c2ccccc21,Cc1ccccc1,6,6,Triphenylamine,386.4980000000001,7.334380000000007,27.03,-0.038584308,24,5,3.4048903,valid
434.0,558.0,0.4399999976158142,40738.0,O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCCCC1,10,6,Triphenylamine,844.7949999999997,15.67649999999997,25.24,-0.031611639,55,11,4.2499228,train
,,,4.360000133514404,COC(=O)c1cc(O)cc2oc3cc(C(CO)C(O)CO)cc(OC)c3c(=O)c12,CO,1,9,Acridines,404.3710000000002,0.8760999999999994,146.66,-0.06662115,18,3,4.4745526,test
349.0,453.0,0.209999993443489,,COCCOc1ccc(OCCOC)c(C=O)c1,CC(C)O,17,15,Benz,254.28199999999995,1.5495,53.99,-0.064502848,7,1,4.1869154,train
335.0,,,19000.0,O=C1O/C(=C\c2ccccc2)c2ccccc21,CC#N,4,10,5p6,222.243,3.355100000000002,26.3,-0.037081687,14,3,3.7703369,train
,,,7200.0,O=[N+]([O-])c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,ClCCl,0,13,6n6,381.4310000000001,5.683100000000005,63.370000000000005,-0.049271984,25,4,4.181981,train
