abs,em,plqy,k,smiles,solvent,solvent_num,tag,tag_name,Molecular_Weight,LogP,TPSA,Avg_Gasteiger_Charge,Double_Bond_Count,Ring_Count,unimol_plus,split
420,517,,10000,COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,CC(C)=O,12,11,6p6,435.531,5.16527,88.79,-0.046359653,24,5,3.6511703,train
489,,,,N#CC(C#N)=C1C=C(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)OC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,ClC(Cl)Cl,3,6,Triphenylamine,682.827,12.49456,63.29,-0.040870271,41,7,4.171593,train
326,415,,,Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,ClCCl,0,12,5n6,297.358,3.8569,30.71,-0.035061334,17,4,4.1295366,test
471,555,0.005,,F[B-]1(F)n2c(ccc2N2CCCCC2)C(c2c(Cl)cccc2Cl)=C2C=CC=[N+]21,CC#N,4,5,BODIPY,420.099,5.434,11.18,-0.034201343,14,5,3.479239,train
660,,,,COc1ccc(N(C)c2ccc3c(c2)[Si](C)(C)C2=CC(=[N+](C)c4ccc(OC)cc4)C=CC2=C3c2ccccc2C)cc1,CCO,2,9,Acridines,583.828,7.96142,24.71,-0.028487687,28,6,2.5865858,train
364,434,,,Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc(C(F)(F)F)cc1,CN(C)C=O,9,13,6n6,321.342,5.59342,32.59,-0.044431442,13,2,3.7006674,train
394,500,0.540000021,,N#Cc1cnc(-c2c3ccccc3c(-c3ncc(C#N)cn3)c3ccccc23)nc1,ClCCl,0,8,PAHs,384.402,4.65036,99.14,-0.028107558,28,5,2.922141,test
343,423,0.610000014,,Cc1nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1,C1CCOC1,5,3,Carbazole,576.703,10.31322,35.64,-0.037322577,48,9,3.8249779,train
396,498,0.0077,10000,CSc1sc(C(C)=O)c2nnnc(O)c12,CO,1,-1,,241.297,1.7164,75.97,-0.032902702,11,2,3.6301167,train
632,645,0.82,,Cc1ccc(C2=C3C=CC(/C=C/c4ccccc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccccc4)ccc32)cc1,C1CCOC1,5,5,BODIPY,486.374,7.69932,7.94,-0.040201749,28,6,2.494424,train
482,628,0,20926,CC(C)n1nc(C#CC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O,8,8,PAHs,398.47,3.443,89.93,-0.042796185,22,4,3.3061705,train
379,440,0.560000002,,CCN(CC)c1ccc2ccc(=O)oc2c1,CN(C)C=O,9,2,Coumarin,217.268,2.6392,33.45,-0.042146324,12,2,3.9774394,valid
519,530,0.289999992,,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,Cc1ccccc1,6,5,BODIPY,396.249,6.14182,7.94,-0.034049122,24,6,2.8373208,train
451,,,,O=C(O)c1cc(C(=O)O)cc(-c2nc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)nc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)n2)c1,CN(C)C=O,9,6,Triphenylamine,948.142,15.6724,119.75,-0.043828715,62,10,4.249578,test
460,576,,148000,C[N+](C)=C1C=CC(=CC=C2C=CN(CCCOCC(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)(COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)COCCCN3C=CC(=CC=C4C=CC(=[N+](C)C)C=C4)C=C3)C=C2)C=C1,C1COCCO1,13,4,Cyanine,1197.667,11.7392,61.92,-0.030235851,28,8,3.6119108,train
375,438,0,30200,CC(C)(C)c1ccc(/C=c2\o/c(=C\c3ccccc3)c3ccccc23)cc1,ClCCl,0,10,5p6,352.477,5.3879,13.14,-0.043091001,24,4,3.282358,valid
316,385,0.379999995,,B1Nc2cccc3c2-n2c1ccc2BN3,ClCCl,0,12,5n6,192.827,-0.7181,28.99,-0.042007147,11,4,4.684889,train
474,608,0.151999995,8900,CN(C)c1ccc2ccc3oc(=O)c(-c4ccccc4)nc3c2c1,c1ccccc1,15,2,Coumarin,316.36,4.0742,46.34,-0.037854337,23,4,2.9676697,train
350,,,,O=[N+]([O-])c1ccc[nH]1,O,8,-1,,112.088,0.9229,58.93,-0.069832185,6,1,4.5983167,train
449,567,0.023,56000,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,ClC(Cl)Cl,3,6,Triphenylamine,351.409,5.59556,60.05,-0.04050987,19,3,3.2680426,train
456,585,,,CCCCCCN(CCCCCC)c1ccc2cc3cc(C(=O)CC)ccc3cc2c1,CCCO,20,8,PAHs,417.637,8.5527,20.31,-0.045726925,17,3,3.3932264,test
509,537,,,CCOC(=O)C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CS(C)=O,7,4,Cyanine,320.148,3.04874,34.24,-0.030992729,9,3,3.2942598,train
338,373,,,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2nc3ccccn3n2)cc(-n2c3ccccc3c3ccccc32)c1,Cc1ccccc1,6,3,Carbazole,525.615,8.5905,40.05,-0.036161968,46,9,3.637856,test
419,540,,,CN(C)c1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,CC#N,4,13,6n6,285.774,4.3021,20.31,-0.045596398,14,2,3.3902566,train
375,,,,COc1cc2c(COC(=O)[C@H](C)N=C(O)OCc3ccccc3)cc(=O)oc2c2ccccc12,CCO,2,2,Coumarin,461.47,4.5173,107.56,-0.048476292,25,4,3.711012,test
343,460,,,C/C(=N\Nc1ccc(C#N)cc1)c1ccccn1,ClC(Cl)Cl,3,13,6n6,236.278,2.78938,61.07,-0.045042669,13,2,3.9394295,valid
359,582,,,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,CC#N,4,6,Triphenylamine,1174.332,19.14934,3.24,-0.038371099,60,13,3.6391556,train
615,638,0.140000001,,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(/C=C/C3=CC(/C=C/c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C=C(C)C4=C5c4ccccc4)=[O+][B-](F)(F)O3)c(C)n1[B-]2(F)F,C1CCOC1,5,5,BODIPY,816.273,10.50138,36.41,-0.030375761,32,9,4.2498016,train
319,,,,N#CC(C#N)=CNc1cccc(F)c1,CS(C)=O,7,15,Benz,187.177,2.16866,59.61,-0.036400513,7,1,4.3535366,test
504.5,512.5,0.871,,C[O+]=C1C=CC(=C2c3c(C)cc(C)n3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc21,CCCCCC,11,5,BODIPY,404.269,5.48478,21.16,-0.042374957,19,5,3.2375891,train
564,590,0.15,,COc1cc(Cl)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O,7,5,BODIPY,388.61,4.56482,37.4,-0.046156102,15,4,2.9781165,train
349,435,0.39199999,,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc(-c5ccccn5)n(-c5ccccc5)n4)cc3)cc2)cc1,ClCCl,0,6,Triphenylamine,541.658,9.1331,46.84,-0.041190538,41,7,3.463709,train
362,577,0.050000001,,COc1cc2cc(C#Cc3ccc([N+](=O)[O-])cc3)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1OC,ClC(Cl)Cl,3,8,PAHs,478.46,5.473,104.74,-0.033263591,25,4,3.7044966,test
469,,,,CCCCCCc1cc(-c2cc3c4nn(CC(CC)CCCC)nc4c4cc(-c5cc6c(s5)c5ccccc5n6CC(CC)CCCC)sc4c3s2)sc1/C=C(/C#N)C(=O)O,C1CCOC1,5,10,5p6,888.307,15.97278,96.73,-0.035979951,39,8,4.250059,train
610,652,0.209999993,93325,CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N,4,5,BODIPY,433.355,6.16268,23.73,-0.034780788,18,5,2.9656863,train
528,550,,,CCOC(=O)CCCCCn1c2ccccc2c(=O)c2cc3c(cc21)c(=O)c1ccccc1n3CC,CO,1,9,Acridines,482.58,5.7662,70.3,-0.038065747,29,5,3.0616636,train
341,413,0.07,,Cc1ccc(-c2ccc(C(=O)NC(C)(C)C)c3c2ccc2c4ccccc4c4ccccc4c23)cc1,ClCCl,0,8,PAHs,467.612,8.80312,29.1,-0.041121987,33,6,3.8503168,train
392,475,0.0207,12000,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3ccc(OC)cc3c12,ClCCl,0,12,5n6,333.347,3.5733,77.1,-0.043169249,22,4,3.5552464,train
471,,,,CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4nc5cc(C(=O)O)c(C(=O)O)cc5nc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,C1CCOC1,5,6,Triphenylamine,989.232,16.0856,125.32,-0.043548151,51,10,3.7291949,train
706,,,,F[B-]1(F)n2c(c(-c3ccccc3)c3c2-c2ccccc2SC3)N=C2C(c3ccccc3)=C3CSc4ccccc4C3=[N+]21,ClC(Cl)Cl,3,5,BODIPY,585.513,8.769,20.3,-0.030999137,32,9,2.8968682,test
487,518,0.0005,,C[N+](C)=C1C=CC(=C2c3cccn3[B-](F)(F)n3cccc32)C=C1,CS(C)=O,7,5,BODIPY,311.144,3.015,12.87,-0.055534663,14,4,3.4077742,train
504,540,0.050000001,33000,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=CC(I)=CC1=C2,OCC(F)(F)F,25,5,BODIPY,373.981,3.66034,7.94,-0.030648128,8,3,1.98322,train
419,,,,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,C1CCCCC1,10,6,Triphenylamine,448.569,8.88758,27.03,-0.04330604,31,5,3.3953533,train
362,386,0.340000004,121000,CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-1,C1CCOC1,5,13,6n6,1255.299,18.04626,0,-0.037190375,60,13,3.781283,train
407,530,0.086000003,6607,F[B-]1(F)Oc2ccccc2-c2cnc3ccccc3[n+]21,Cc1ccccc1,6,11,6p6,270.047,2.8044,26,-0.030200055,17,4,3.457369,train
368,439,0.699999988,,CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,Cc1ccccc1,6,13,6n6,225.291,3.2321,20.31,-0.052383479,13,2,3.6408231,train
387,460,0.048,34713.6,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CCOC(C)=O,14,8,PAHs,363.464,6.1057,31.92,-0.047392788,27,5,3.4058907,train
575,601,0.569999993,,Cc1cc(C)c(C2=C3C=CC(c4ccc[nH]4)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,C1CCOC1,5,5,BODIPY,375.231,4.80876,23.73,-0.039256732,19,5,3.0422115,train
420,513,,,CCCCn1c2cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(/C=C(\C#N)C(=O)O)ccc4-5)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc21,ClCCl,0,3,Carbazole,788.029,14.53798,69.26,-0.040882231,46,9,4.2501407,train
344,431,0.112000003,2250,CC1(C)c2ccccc2N(c2ccc(-c3cccc(C#N)c3)cc2)c2ccccc21,Cc1ccccc1,6,6,Triphenylamine,386.498,7.33438,27.03,-0.038584308,24,5,3.4048903,valid
434,558,0.439999998,40738,O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCCCC1,10,6,Triphenylamine,844.795,15.6765,25.24,-0.031611639,55,11,4.2499228,train
349,453,0.209999993,,COCCOc1ccc(OCCOC)c(C=O)c1,CC(C)O,17,15,Benz,254.282,1.5495,53.99,-0.064502848,7,1,4.1869154,train
335,,,19000,O=C1O/C(=C\c2ccccc2)c2ccccc21,CC#N,4,10,5p6,222.243,3.3551,26.3,-0.037081687,14,3,3.7703369,train
283,391,0.090000004,13800,COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccccc32)cc1,C1CCCCC1,10,10,5p6,356.465,5.9541,18.46,-0.048667172,19,4,4.2740755,test
514,633,0.0028,7461,N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccc(/C=C/C(=C(C#N)C#N)c3ccccc3)cc2)cc1)c1ccccc1,CCO,2,6,Triphenylamine,601.713,10.18472,98.4,-0.036237934,34,5,2.750797,train
353,420,0.879999995,22660,Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(C)=O,7,10,5p6,346.274,5.9405,12.89,-0.026551263,20,4,3.7590322,train
557,,,,CCCCCC(CC)COc1ccc(-c2ccc(/C(=C\c3ccc(N4c5ccc(-c6ncc(-c7ccc(/C=C(\C#N)C(=O)O)s7)c7nccnc67)cc5C5CCCC54)cc3)c3ccc(-c4ccc(OCC(CC)CCCCC)cc4OC(CC)CCCCC)cc3)cc2)c(OCC(CC)CCCCC)c1,ClCCl,0,10,5p6,1427.007,25.81618,139.92,-0.044299285,55,11,3.650706,train
547,568,0.479999989,,CN(C)c1ccc2cc3ccc(N(C)C)cc3[o+]c2c1,CCO,2,9,Acridines,267.352,3.9991,17.78,-0.000817961,16,3,3.2458076,test
430,452,0.639999986,,CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCCCC1,10,8,PAHs,521.6,10.2021,22,-0.036774463,37,8,3.1494272,train
566,573,0.47,,Cc1cc(/C=C/c2ccc(S(C)(=O)=O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,7,5,BODIPY,386.232,3.60072,42.08,-0.03677399,17,4,2.739095,valid
596,636,0.78,79432.8,COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,Cc1ccccc1,6,5,BODIPY,734.652,10.37646,44.86,-0.042712742,38,8,3.7039833,test
480,,,,CCCCCCCCc1cc(/C=C(/C#N)C(=O)O)sc1-c1ccc(-c2sc(-c3ccc4c(c3)c3nc5ccccc5nc3n4CC(CC)CCCC)cc2CCCCCCCC)s1,ClCCl,0,10,5p6,897.333,16.93718,91.8,-0.038921503,37,7,4.0227633,train
613,,,,CCCSC(=O)c1ccc(C(=O)SCCC)nc1,CC#N,4,15,Benz,283.418,3.6484,47.03,-0.034114678,8,1,4.126295,train
372,439,,,CC1(C)CC(=O)c2ccccc2N1,CC#N,4,11,6p6,175.231,2.4635,29.1,-0.04925811,7,2,4.3573246,train
485,,,,COc1ccc(N2c3ccc(-c4cc5sc6cc(C=C(C#N)C(=O)O)sc6c5s4)cc3C3CCCC32)cc1,CCO,2,10,5p6,554.718,8.63248,73.56,-0.0369287,27,7,2.2162688,train
436,481,0.879999995,38019,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,Cc1ccccc1,6,13,6n6,432.281,4.61074,73.13,-0.038067887,18,3,2.9269423,train
406,470,0.910000026,14400,Cc1cc(C)c(B2c3cc(C(C)(C)C)ccc3-c3c(-c4ccccc4)ccc4cc(C(C)(C)C)cc2c34)c(C)c1,C1CCCCC1,10,8,PAHs,520.569,8.52366,0,-0.038981753,29,6,3.460461,train
380.2,,,4350.1,COC(=O)c1c(C(=O)OC)c2ccc(C)nn2c1C,C1CCCCC1,10,10,5p6,262.265,1.52434,69.9,-0.037297236,12,2,4.0262837,test
438,637,0.090000004,,O=[N+]([O-])c1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,3,13,6n6,316.36,5.4038,46.38,-0.043500999,20,3,3.1897058,train
646,665,,,CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,C1CCCCC1,10,9,Acridines,350.462,4.886,58.2,-0.048221135,14,3,2.3756084,train
544,624,0.239999995,,CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,10,6,Triphenylamine,598.75,10.18634,83.84,-0.0337585,27,6,4.199659,train
560,585,0.389999986,,CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2cc(N(CC)CC)ccc12,CN(C)C=O,9,9,Acridines,471.621,7.4032,44.08,-0.016169743,23,4,2.940581,train
520,543.5,,,CC1=CC(C)=[N+]2C1=Cc1c(C)c(C=C(Br)Br)c(C)n1[B-]2(F)F,Cc1ccccc1,6,5,BODIPY,431.915,5.20364,7.94,-0.025649992,9,3,3.2832916,train
400.5,475.5,0.16,23988.3,CC(=O)OC[C@H]1O[C@@H](OCCn2cc(CNC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)nn2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,O,8,4,Cyanine,662.412,0.5271,174.34,-0.043441127,17,5,3.9834719,train
356,422,,,CC(C)=CC(=O)c1cc2c(cc1F)NC(C)(C)CC2=O,CC#N,4,11,6p6,275.323,3.7515,46.17,-0.037590996,9,2,4.408681,train
329,447,0.170000002,,COc1ccc(-c2cccc3cnc(-c4ccc(C#N)cc4)n23)cc1,ClCCl,0,10,5p6,325.371,4.54858,50.32,-0.039625156,22,4,3.78354,train
575,639,0.25,,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O,7,5,BODIPY,388.226,5.35902,17.17,-0.041383248,20,5,2.8977334,train
552,,,,CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(/C=C(\C#N)c2ccc(-c4ccc(/C=C(/C#N)C(=O)O)s4)s2)c(=O)oc31,CCO,2,2,Coumarin,607.757,7.80776,118.33,-0.032823767,25,6,2.494498,test
645,662.5,0.579999983,,C[O+]=C1C=CC(=C2c3cc(-c4ccc(C=O)cc4)c(/C=C/c4ccc(C(F)(F)F)cc4)n3[B-](F)(F)N3C2C=C(c2ccc(C=O)cc2)C3/C=C/c2ccc(C(F)(F)F)cc2)C=C1,C1CCCCC1,10,5,BODIPY,848.599,11.6884,53.61,-0.038561196,38,8,4.2498207,train
521,,,,CCC1(CC)c2cc(C=C(C#N)C(=O)O)sc2-c2sc(-c3ccc(N(c4ccc(N(C)C)cc4)c4ccc(N(C)C)cc4)cc3)cc21,ClC(Cl)Cl,3,6,Triphenylamine,658.893,10.15648,70.81,-0.043789604,30,6,2.3075354,train
584,623,0.137999997,32000,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(C#N)C#N)c3cccc4c5cccc6c(C=C(C#N)C#N)cc1c(c65)c2c34,Cc1ccccc1,6,3,Carbazole,754.079,15.44882,100.09,-0.03462603,28,6,4.2500277,train
601,650,0.050000001,17500,C=CCNc1ccc2c(ccc3[o+]c4cc(N(C)C)ccc4nc32)c1,CCO,2,8,PAHs,330.411,5.0792,39.46,-0.009580642,22,4,2.7285259,train
742,780,0.200000003,133058,C[N+]1=C(C=CC2=C3Oc4c(cc5c6c4CCCN6CCC5)C(c4ccccc4C(=O)O)=C3CCC2)C(C)(C)c2c1ccc1ccccc21,CC#N,4,2,Coumarin,633.812,9.1315,52.78,-0.024907128,28,9,2.8990088,train
701,770,0.200000003,,CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,CC#N,4,5,BODIPY,802.728,5.38942,113.8,-0.05655802,28,7,4.2499585,test
576,,,,CC1(C)OC(=O)C(=CC=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)O1,ClCCl,0,13,6n6,426.468,5.3439,61.83,-0.037393348,19,4,2.5799406,valid
584,636,0.02,,CCN(CC)c1ccc(/C=C/C2=c3c(=O)oc4cc(N(CC)CC)ccc4c3=[O+][B-](F)(F)O2)cc1,CC(C)=O,12,2,Coumarin,482.336,4.3266,57.22,-0.036298278,21,4,2.7135,test
384,,,,Oc1n[nH]c2c1cnc1c2c(-c2ccc(Cl)cc2)nn1-c1ccccc1,CS(C)=O,7,10,5p6,361.792,4.3228,79.62,-0.043847896,26,5,4.2190475,valid
515,527,0.930000007,,CC[Si](CC)(CC)C1=CC2=C(c3c(C)cc(C)cc3C)c3cc([Si](CC)(CC)CC)cn3[B-](F)(F)[N+]2=C1,C1CCOC1,5,5,BODIPY,538.684,8.19556,7.94,-0.038251426,14,4,3.252938,test
486,536,0.8,65388.3,COC1=C2C=C(Cl)C(=[Cl+])N2[B-](F)(F)n2c1cc(Cl)c2Cl,ClCCl,0,5,BODIPY,359.783,3.4637,17.4,,8,3,3.4917963,test
451,601,0.75999999,20000,CN(C)c1ccc(C2=C3C=C(c4ccc(C#N)cc4)S[C@]34c3ccccc3[C@H]2c2ccccc24)cc1,ClCCl,0,9,Acridines,480.636,7.56848,27.03,-0.038629849,26,8,2.9320426,valid
525,663,,,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,7,12,5n6,752.845,9.77314,68.28,-0.021637341,28,8,2.9639354,test
425,,,,CC1(C)c2ccccc2-c2ccc([C@@H]3c4ccc(-c5ccc(-c6ccc(/C=C(\C#N)C(=O)O)s6)s5)c5c4[C@@H](CCC5)N3c3ccccc3)cc21,CCO,2,12,5n6,686.902,11.42848,64.33,-0.038814328,36,9,3.5904243,train
558,588,0.12,51582.2,F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C=C(Cl)C(c3ccccc3)=[N+]21,CC#N,4,5,BODIPY,489.161,7.4423,7.94,-0.031638578,26,6,3.1005044,train
595,630,0.460000008,70795,COc1ccc(-c2sc3c(=C4C=CC(=[O+]C)C=C4)c4n(c3c2-c2ccc(OC)cc2)[B-](F)(F)N2C=c3c(=C5C=CC(=[O+]C)C=C5)c5sc(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)c5n3[B-](F)(F)N2C=4)cc1,CCCCCC,11,5,BODIPY,1030.74,9.6118,75.86,-0.04547835,52,12,4.249578,test
495,,,,CCCCCCc1cc(-c2ccc3c(c2)Sc2cc(-c4cc(CCCCCC)c(/C=C(\C#N)C(=O)O)s4)ccc2N3c2ccc(/C(=C/c3ccccc3)c3ccccc3)cc2)sc1/C=C(\C#N)C(=O)O,C1CCOC1,5,6,Triphenylamine,976.302,16.89566,125.42,-0.041022606,45,8,3.6824822,train
490,540,,52000,N#Cc1c2nc3ccccn3c2nc2nc3ccccn3c12,CN(C)C=O,9,10,5p6,284.282,2.55508,71.28,-0.02498163,24,5,3.0316648,train
532,543,0.800000012,,CCC1=C(C)C2=C(c3c4ccccc4cc4ccccc34)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClC(Cl)Cl,3,5,BODIPY,480.411,8.18294,7.94,-0.033047026,24,6,2.6316583,valid
388,525,0.360000014,,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,ClCCl,0,9,Acridines,447.567,6.68888,64.31,-0.041373531,25,5,3.5186784,train
379,,,,CCn1c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc2c2cc(-c3ccc(-c4ccc(N(c5ccc(-c6cccs6)cc5)c5ccc(-c6cccs6)cc5)cc4)s3)ccc21,ClC(Cl)Cl,3,3,Carbazole,862.139,15.85678,69.26,-0.038369034,55,10,4.3310385,test
