smiles,solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å)
[NH2+]=c1ccc2c(-c3ccc(C4OCCCO4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,585,45,,,
[NH2+]=c1ccc2c(-c3ccc(CN4CCC5(CC4)OCCO5)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,570,35,,,
[NH2+]=c1ccc2c(-c3ccc(CN4CCCCC4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,565,25,,,
[NH2+]=c1ccc2c(-c3ccc(F)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc(Oc4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,532,570,38,,,
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3ccc(O)cc3oc-2c1,O,500,530,30,,,
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3ccc(O)cc3oc-2c1,O,500,530,30,,,
[NH2+]=c1ccc2c(-c3cccc(Cl)c3)c3ccc(N4CCCCC4)cc3oc-2c1,O,540,575,35,,,
[NH2+]=c1ccc2c(-c3cccc(CN4CCCCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,565,25,,,
[NH2+]=c1ccc2c(-c3cccc(CN4CCOCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,560,25,,,
[NH2+]=c1ccc2c(-c3cccc(F)c3)c3ccc(N4CCCCC4)cc3oc-2c1,O,540,575,35,,,
[NH2+]=c1ccc2c(-c3ccccc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,575,40,,,
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],O,277,350,73,0.15,5358,3.729
[NH3+]c1cc([NH3+])cc(-c2[nH+]c3ccccc3s2)c1,O,328,460,132,0.008,19364,4.287
[NH3+]c1cc([NH3+])cc(-c2nc3ccccc3s2)c1,O,315,402,87,0.011,17640,4.2465
[NH3+]c1ccc2c(c1)Cc1ccccc1-2,O,299,314,15,,8511,3.93
[NH3+]c1ccc2ccc(O)cc2c1,O,328,357,29,,,
[NH3+]Cc1ccc2c(c1)c1cccc3cnc2n31,CO,424,467,43,0.43,,
[O-][Cl+3]([O-])([O-])[O-],CC(=O)C,602,,,,28000,4.4472
[O-][n+]1c(/C=C/c2cc3cccc4c5cccc6cccc(c(c2)c34)c65)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,470,575,105,0.04,29000,4.4624
[O-][n+]1c(/C=C/c2ccc(/C=C/c3ccccc3)cc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,406,531,125,0.04,10000,4
[O-][n+]1c(/C=C/c2ccc3ccccc3c2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,546,146,0.05,10000,4
[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,535,135,0.21,4400,3.6435
[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,534,134,0.006,4000,3.6021
[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,445,548,103,0.15,3700,3.5682
[O-][n+]1c(-c2ccccc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,445,548,103,0.2,4200,3.6232
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C(Cl)Cl,702,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C(Cl)(Cl)Cl,731,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CC1CCCO1,783,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCOC(=O)C,750,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C1=CC=NC=C1,706,,,,,
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514,554,40,,,
[O-]c1ccc(Br)cc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,CC1=CC=CC=C1,318,,,,,
[O-]c1ccc2ccccc2c1,O,346,414,68,,,
[O-]c1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1[O-],C1CCOC1,380,490,110,,,
[O-]c1ccccc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,CC1=CC=CC=C1,318,,,,,
[SiH2-2],CC(=O)C,448,,,,,
B1C=Cc2c(ccc3ccccc23)N1,C1CCCCC1,345,348,3,0.79,28990,4.4622
B1C=Cc2cc3c(cc2N1)C=CBN3,C1CCCCC1,357,403,46,0.38,28010,4.4473
B1C=Cc2cc3ccccc3cc2N1,C1CCCCC1,359,403,44,0.38,27860,4.445
B1C=Cc2ccc3ccccc3c2N1,C1CCCCC1,352,354,2,0.56,28410,4.4535
B1Nc2ccccc2-c2ccccc21,C1CCCCC1,326,327,1,,30670,4.4867
BrC1=CC=CN2B1C=Cc1c2ccc2ccccc12,C1CCCCC1,321,373,52,0.01,31150,4.4935
BrC1=CC=CN2B1C=Cc1ccccc12,C1CCCCC1,300,371,71,0.0049,11170,4.0481
BrC1=CN2C[n+]3cc(Br)cc(Br)c3N=C2C(Br)=C1,CS(=O)C,449,494,45,,15079,4.1784
BrC1=CN2C[n+]3cc(Br)ccc3N=C2C=C1,CO,434,476,42,,17717,4.2484
Brc1c2ccccc2c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c2ccccc12,CO,400,,,,,
Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,425,528,103,0.34,,
Brc1cc2nc3cc4oc(-c5ccccc5)c(-c5ccccc5)c5cccc(c3nc2cc1Br)c45,C(Cl)Cl,518,580,62,0.12,,
Brc1ccc(/C=C/c2ccncn2)cc1,C(Cl)Cl,317,410,93,0.01,11800,4.0719
Brc1ccc(/C=C/c2cnc3ccccc3n2)cc1,C(Cl)Cl,369,455,86,0.02,13400,4.1271
Brc1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,CC1=CC=CC=C1,347,405,58,0.01,28820,4.4597
Brc1ccc(C=Cc2ccc3c4c(ccc3c2)OC(c2ccccc2)(c2ccccc2)C4=C=C(c2ccccc2)c2ccccc2)cc1,C1CCOC1,463,,,,,
Brc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,CCO,315,,,,,
Brc1ccc(-c2ccc(Br)cc2)cc1,CCOC(=O)C,399,,,,,
Brc1ccc(-c2ccc3cc4ccccc4nc3n2)cc1,CC(=O)C,398,,,,,
Brc1ccc(-c2cn3ccc(C=Cc4ccccc4)cc3n2)cc1,CC1=CC=CC=C1,416,,,,,
Brc1ccc(-c2cn3ccc(C=Cc4cccs4)cc3n2)cc1,CC1=CC=CC=C1,393,,,,25119,4.4
Brc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)[nH]4)cc3)[nH]c2-c2ccc(Br)cc2)cc1,CS(=O)C,389,413,24,0.49,,
Brc1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,C(Cl)(Cl)Cl,323,,,,48000,4.6812
Brc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C(Cl)(Cl)Cl,325,,,,37800,4.5775
Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(=O)C,353,420,67,0.88,22660,4.3553
Brc1ccc(-c2nnc3ccccn23)cc1,C(Cl)Cl,289,399,110,,34600,4.5391
Brc1ccc(-c2oc3cc4nc5ccccc5nc4c4cccc(c2-c2ccc(Br)cc2)c34)cc1,C(Cl)Cl,488,539,51,0.39,,
Brc1ccc(-c2oc3ccc4oc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)c5ccc(c2-c2ccc(Br)cc2)c3c45)cc1,C(Cl)Cl,501,600,99,0.0067,19960,4.3002
Brc1ccc(N(c2ccc(/C=C/c3ccncn3)cc2)c2ccc(/C=C/c3ccncn3)cc2)cc1,C(Cl)Cl,417,555,138,0.69,27900,4.4456
Brc1ccc(N/C=C/C=[NH+]c2ccc(Br)cc2)cc1,CS(=O)C,386,497,111,0.07,24500,4.3892
Brc1ccc(N2c3c(sc4ccccc34)Sc3sc4ccccc4c32)cc1,C(Cl)Cl,309,,,,,
Brc1ccc(-n2cccc2)cc1,C(Cl)(Cl)Cl,315,,,,,
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,347,399,52,0.0499,10722,4.0303
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,347,409,62,0.0346,12245,4.088
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,351,444,93,0.0163,16419,4.2153
Brc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(Br)ccc7[nH]6)cc5)cc4)cc3)nc2c1,CN(C)C=O,350,410,60,0.42,33100,4.5198
Brc1ccc2[nH]c3ccc(Br)cc3c2c1,C1CCCCC1,412,,,,,
Brc1ccc2c(c1)C=C1B(N2)OB2Nc3ccc(Br)cc3C=C2C(c2ccccc2)=C1c1ccccc1,C(Cl)Cl,420,433,13,0.24,23810,4.3768
Brc1ccc2c(c1)Cc1cc(Br)ccc1-2,CCOC(=O)C,411,,,,,
Brc1ccc2c(c1)CCc1nc(-c3ccccc3)c3c(c1-2)CCc1cc(Br)ccc1-3,C(Cl)(Cl)Cl,343,,,,99700,4.9987
Brc1ccc2cc3c4ccccc4nc(-c4ccco4)c3n2c1,CS(=O)C,411,487,76,0.03,9314,3.9691
Brc1cccc(C=NCCN=Cc2cccc(Br)c2)c1,C(Cl)Cl,244,,,,21137,4.325
Brc1cnc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,CO,369,493,124,0.04,41800,4.6212
Brc1cnc(-c2ccncc2)s1,CO,306,396,90,0.02,4910,3.6911
Brc1nnc(N=Nc2ccc(-c3cccs3)s2)s1,CS(=O)C,510,,,,,
C(/C=C/C1=[NH+]c2cccc3cccc1c23)=c1/[nH]c2cccc3cccc1c32,O,598,,,,34000,4.5315
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,C1COCCO1,413,518,105,0.031,,
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,413,569,156,0.034,,
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CO,419,583,164,0.016,,
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,395,481,86,0.3,,
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,396,534,138,0.16,,
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CO,399,540,141,0.02,,
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,356,436,80,0.55,,
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,350,492,142,0.32,,
C(/C=C/c1ccc2ncnc(Nc3ccccc3)c2c1)=C\c1ccccc1,C(Cl)(Cl)Cl,361,422,61,0.25,44300,4.6464
C(/C=C/c1ccccc1)=C\c1ccccc1,CCCCCC,347,373,26,,28820,4.4597
C(/C=C/Nc1cccc2ccccc12)=[NH+]c1cccc2ccccc12,CS(=O)C,391,527,136,0.01,53800,4.7308
C(/C=C/Nc1ccccc1)=[NH+]c1ccccc1,CS(=O)C,381,492,111,0.08,31100,4.4928
C(\c1ccccc1)=c1\o/c(=C\c2ccc(N3CCCC3)cc2)c2ccccc12,C(Cl)Cl,414,522,108,0.0506,24150,4.3829
C(\c1ccccc1)=c1\o/c(=C\c2ccc(N3CCCCC3)cc2)c2ccccc12,C(Cl)Cl,397,523,126,0.0552,25190,4.4012
C(\c1ccccc1)=c1\o/c(=C\c2ccc(N3CCOCC3)cc2)c2ccccc12,C(Cl)Cl,390,505,115,0.029,25640,4.4089
C(=C(c1ccccc1)c1ccccc1)=C1c2c(ccc3cc(C=Cc4ccccc4)ccc23)OC1(c1ccccc1)c1ccccc1,C1CCOC1,464,,,,,
C(=C(c1ccccc1)c1ccccc1)c1ccc(C=C(c2ccccc2)c2ccccc2)cc1,C1CCOC1,352,461,109,0.017,29300,4.4669
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)cc2-c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,C1CCOC1,330,440,110,0.0282,96000,4.9823
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)c2)cc1,C1CCOC1,333,446,113,0.0045,91500,4.9614
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,C1CCOC1,351,445,94,0.038,41400,4.617
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3cccc(-c4ccc(C=C(c5ccccc5)c5ccccc5)cc4)c3)cc2)cc1,C1CCOC1,340,449,109,0.145,,
C(=C(CCc1ccccc1)CCc1ccccc1)c1c2ccccc2c(C=C(CCc2ccccc2)CCc2ccccc2)c2ccccc12,C(Cl)(Cl)Cl,432,,,,28000,4.4472
C(=C(CCc1ccccc1)CCc1ccccc1)c1ccc(C=C(CCc2ccccc2)CCc2ccccc2)cc1,C(Cl)(Cl)Cl,416,475,59,0.35,55000,4.7404
C(=C(CCc1ccccc1)CCc1ccccc1)c1ccc(-c2ccc(C=C(CCc3ccccc3)CCc3ccccc3)cc2)cc1,C(Cl)(Cl)Cl,394,461,67,0.39,86000,4.9345
C(=C(CCc1ccccc1)CCc1ccccc1)c1ccc2cc(C=C(CCc3ccccc3)CCc3ccccc3)ccc2c1,C(Cl)(Cl)Cl,418,473,55,0.49,61000,4.7853
C(=C(CCc1cccs1)CCc1cccs1)c1ccc(C=C(CCc2cccs2)CCc2cccs2)cc1,C(Cl)(Cl)Cl,438,498,60,0.25,60000,4.7782
C(=C(CCc1cccs1)CCc1cccs1)c1ccc(C=C(CCc2cccs2)CCc2cccs2)s1,C(Cl)(Cl)Cl,486,550,64,0.07,51000,4.7076
C(=C/c1c[nH]c2ccc(Oc3ccccc3)cc12)\C1=[NH+]c2cccc3cccc1c23,CO,489,584,95,0.0644,16100,4.2068
C(=C/c1c[nH]c2ccccc12)\c1cc[n+]2ccc(/C=C/c3c[nH]c4ccccc34)cc2c1,CO,489,584,95,,,
C(=C/c1c[nH]cn1)\c1cc[n+]2ccc(/C=C/c3c[nH]cn3)cc2c1,CO,430,527,97,,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,C(Cl)Cl,411,511,100,0.04,24330,4.3861
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CS(=O)C,418,542,124,0.05,23920,4.3788
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,CCCCCC,402,461,59,0.03,24880,4.3959
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc(Oc2ccc3ccccc3c2-c2c(Oc3ccc(/C=C/c4c5ccccc5cc5ccccc45)cc3)ccc3ccccc23)cc1,C(Cl)Cl,390,486,96,,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2c1,CC1=CC=CC=C1,386,488,102,0.72,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2c1,CC#N,387,490,103,0.68,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2n1,CC1=CC=CC=C1,390,492,102,0.41,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccc2ccccc2n1,CC#N,390,510,120,0.04,,
C(=C/c1c2ccccc2cc2ccccc12)\c1cccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)c1,CCCCCC,375,470,95,0.53,26670,4.426
C(=C/c1c2ccccc2cc2ccccc12)\c1cccc2ccccc12,CC1=CC=CC=C1,386,501,115,0.43,,
C(=C/c1c2ccccc2cc2ccccc12)\c1cccc2ccccc12,CC#N,386,503,117,0.35,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1,CC1=CC=CC=C1,385,468,83,0.46,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1,CC#N,385,476,91,0.45,,
C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1/C=C/c1ccc2ccc3cccc4ccc1c2c34,C(Cl)Cl,375,513,138,0.05,26670,4.426
C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1/C=C/c1ccc2ccc3cccc4ccc1c2c34,CS(=O)C,379,536,157,0.1,26390,4.4214
C(=C/c1c2ccccc2cc2ccccc12)\c1ccccc1/C=C/c1ccc2ccc3cccc4ccc1c2c34,CCCCCC,370,488,118,0.04,27030,4.4318
C(=C/c1c2ccccc2cc2ccccc12)\c1cnc2ccccc2c1,CC1=CC=CC=C1,386,488,102,0.7,,
C(=C/c1c2ccccc2cc2ccccc12)\c1cnc2ccccc2c1,CC#N,386,494,108,0.58,,
